Product_category,5
The type of the 7th route combine total opertion is,"[7, 9, 4]"
The type of the 8th route combine total opertion is,"[11, 9, 3, 10]"
The type of the 9th route combine total opertion is,"[1, 6, 9]"
The type of the 10th route combine total opertion is,"[2, 11, 10, 6]"
The type of the 11th route combine total opertion is,"[7, 4]"
The type of the 12th route combine total opertion is,"[9, 2, 7]"
The type of the 13th route combine total opertion is,"[1, 12, 8]"
The type of the 0th product of the0th component the0th damage type can select the route is,"[[11, 8, 1, 6]]"
The type of the 0th product of the0th component the1th damage type can select the route is,"[[6, 12, 9]]"
The type of the 0th product of the1th component the0th damage type can select the route is,"[[7, 3, 1, 2]]"
The type of the 0th product of the2th component the0th damage type can select the route is,"[[11, 9, 3, 10]]"
The type of the 0th product of the3th component the0th damage type can select the route is,"[[11, 8, 1, 6]]"
The type of the 0th product of the3th component the1th damage type can select the route is,"[[2, 8, 6]]"
The type of the 1th product of the0th component the0th damage type can select the route is,"[[2, 11, 10, 6]]"
The type of the 1th product of the0th component the1th damage type can select the route is,"[[7, 9, 4]]"
The type of the 1th product of the1th component the0th damage type can select the route is,"[[7, 5, 10]]"
The type of the 1th product of the1th component the1th damage type can select the route is,"[[7, 4]]"
The type of the 1th product of the1th component the2th damage type can select the route is,"[[6, 12, 9]]"
The type of the 1th product of the2th component the0th damage type can select the route is,"[[11, 9, 3, 10]]"
The type of the 1th product of the2th component the1th damage type can select the route is,"[[7, 5, 10]]"
The type of the 1th product of the3th component the0th damage type can select the route is,"[[9, 2, 7]]"
The type of the 2th product of the0th component the0th damage type can select the route is,"[[11, 8, 1, 6]]"
The type of the 2th product of the1th component the0th damage type can select the route is,"[[7, 9, 4]]"
The type of the 2th product of the2th component the0th damage type can select the route is,"[[8, 10, 1, 3]]"
The type of the 2th product of the3th component the0th damage type can select the route is,"[[7, 3, 1, 2]]"
The type of the 2th product of the3th component the1th damage type can select the route is,"[[8, 10, 1, 3]]"
The type of the 3th product of the0th component the0th damage type can select the route is,"[[7, 9, 4]]"
The type of the 3th product of the0th component the1th damage type can select the route is,"[[11, 9, 3, 10]]"
The type of the 3th product of the0th component the2th damage type can select the route is,"[[7, 4]]"
The type of the 3th product of the1th component the0th damage type can select the route is,"[[1, 6, 9]]"
The type of the 3th product of the1th component the1th damage type can select the route is,"[[7, 9, 4]]"
The type of the 3th product of the1th component the2th damage type can select the route is,"[[7, 9, 4]]"
The type of the 3th product of the2th component the0th damage type can select the route is,"[[11, 8, 1, 6]]"
The type of the 3th product of the3th component the0th damage type can select the route is,"[[1, 6, 9]]"
The type of the 3th product of the3th component the1th damage type can select the route is,"[[7, 5, 10]]"
The type of the 4th product of the0th component the0th damage type can select the route is,"[[6, 12, 9]]"
The type of the 4th product of the0th component the1th damage type can select the route is,"[[1, 12, 8]]"
The type of the 4th product of the0th component the2th damage type can select the route is,"[[8, 10, 1, 3]]"
The type of the 4th product of the1th component the0th damage type can select the route is,"[[7, 5, 10]]"
The type of the 4th product of the1th component the1th damage type can select the route is,"[[7, 3, 1, 2]]"
The type of the 4th product of the1th component the2th damage type can select the route is,"[[7, 3, 1, 2]]"
The type of the 4th product of the2th component the0th damage type can select the route is,"[[8, 10, 1, 3]]"
The type of the 4th product of the3th component the0th damage type can select the route is,"[[11, 8, 5]]"
The type of the 4th product of the3th component the1th damage type can select the route is,"[[7, 5, 10]]"
The type of the 4th product of the3th component the2th damage type can select the route is,"[[6, 12, 9]]"
The type of the 0th product of the0th component the0th damage type select the the0th route restore time is,[2]
The type of the 0th product of the0th component the0th damage type select the the1th route restore time is,[2]
The type of the 0th product of the0th component the0th damage type select the the2th route restore time is,[2]
The type of the 0th product of the0th component the0th damage type select the the3th route restore time is,[2]
The type of the 0th product of the0th component the1th damage type select the the0th route restore time is,[2]
The type of the 0th product of the0th component the1th damage type select the the1th route restore time is,[2]
The type of the 0th product of the0th component the1th damage type select the the2th route restore time is,[2]
The type of the 0th product of the1th component the0th damage type select the the0th route restore time is,[5]
The type of the 0th product of the1th component the0th damage type select the the1th route restore time is,[8]
The type of the 0th product of the1th component the0th damage type select the the2th route restore time is,[8]
The type of the 0th product of the1th component the0th damage type select the the3th route restore time is,[4]
The type of the 0th product of the2th component the0th damage type select the the0th route restore time is,[5]
The type of the 0th product of the2th component the0th damage type select the the1th route restore time is,[7]
The type of the 0th product of the2th component the0th damage type select the the2th route restore time is,[5]
The type of the 0th product of the2th component the0th damage type select the the3th route restore time is,[8]
The type of the 0th product of the3th component the0th damage type select the the0th route restore time is,[8]
The type of the 0th product of the3th component the0th damage type select the the1th route restore time is,[11]
The type of the 0th product of the3th component the0th damage type select the the2th route restore time is,[17]
The type of the 0th product of the3th component the0th damage type select the the3th route restore time is,[11]
The type of the 0th product of the3th component the1th damage type select the the0th route restore time is,[8]
The type of the 0th product of the3th component the1th damage type select the the1th route restore time is,[13]
The type of the 0th product of the3th component the1th damage type select the the2th route restore time is,[16]
The type of the 1th product of the0th component the0th damage type select the the0th route restore time is,[3]
The type of the 1th product of the0th component the0th damage type select the the1th route restore time is,[3]
The type of the 1th product of the0th component the0th damage type select the the2th route restore time is,[3]
The type of the 1th product of the0th component the0th damage type select the the3th route restore time is,[3]
The type of the 1th product of the0th component the1th damage type select the the0th route restore time is,[3]
The type of the 1th product of the0th component the1th damage type select the the1th route restore time is,[4]
The type of the 1th product of the0th component the1th damage type select the the2th route restore time is,[4]
The type of the 1th product of the1th component the0th damage type select the the0th route restore time is,[9]
The type of the 1th product of the1th component the0th damage type select the the1th route restore time is,[5]
The type of the 1th product of the1th component the0th damage type select the the2th route restore time is,[10]
The type of the 1th product of the1th component the1th damage type select the the0th route restore time is,[4]
The type of the 1th product of the1th component the1th damage type select the the1th route restore time is,[4]
The type of the 1th product of the1th component the2th damage type select the the0th route restore time is,[8]
The type of the 1th product of the1th component the2th damage type select the the1th route restore time is,[5]
The type of the 1th product of the1th component the2th damage type select the the2th route restore time is,[8]
The type of the 1th product of the2th component the0th damage type select the the0th route restore time is,[12]
The type of the 1th product of the2th component the0th damage type select the the1th route restore time is,[12]
The type of the 1th product of the2th component the0th damage type select the the2th route restore time is,[10]
The type of the 1th product of the2th component the0th damage type select the the3th route restore time is,[6]
The type of the 1th product of the2th component the1th damage type select the the0th route restore time is,[5]
The type of the 1th product of the2th component the1th damage type select the the1th route restore time is,[8]
The type of the 1th product of the2th component the1th damage type select the the2th route restore time is,[7]
The type of the 1th product of the3th component the0th damage type select the the0th route restore time is,[4]
The type of the 1th product of the3th component the0th damage type select the the1th route restore time is,[7]
The type of the 1th product of the3th component the0th damage type select the the2th route restore time is,[5]
The type of the 2th product of the0th component the0th damage type select the the0th route restore time is,[1]
The type of the 2th product of the0th component the0th damage type select the the1th route restore time is,[1]
The type of the 2th product of the0th component the0th damage type select the the2th route restore time is,[1]
The type of the 2th product of the0th component the0th damage type select the the3th route restore time is,[1]
The type of the 2th product of the1th component the0th damage type select the the0th route restore time is,[3]
The type of the 2th product of the1th component the0th damage type select the the1th route restore time is,[4]
The type of the 2th product of the1th component the0th damage type select the the2th route restore time is,[6]
The type of the 2th product of the2th component the0th damage type select the the0th route restore time is,[5]
The type of the 2th product of the2th component the0th damage type select the the1th route restore time is,[4]
The type of the 2th product of the2th component the0th damage type select the the2th route restore time is,[3]
The type of the 2th product of the2th component the0th damage type select the the3th route restore time is,[7]
The type of the 2th product of the3th component the0th damage type select the the0th route restore time is,[11]
The type of the 2th product of the3th component the0th damage type select the the1th route restore time is,[6]
The type of the 2th product of the3th component the0th damage type select the the2th route restore time is,[9]
The type of the 2th product of the3th component the0th damage type select the the3th route restore time is,[9]
The type of the 2th product of the3th component the1th damage type select the the0th route restore time is,[14]
The type of the 2th product of the3th component the1th damage type select the the1th route restore time is,[16]
The type of the 2th product of the3th component the1th damage type select the the2th route restore time is,[6]
The type of the 2th product of the3th component the1th damage type select the the3th route restore time is,[16]
The type of the 3th product of the0th component the0th damage type select the the0th route restore time is,[2]
The type of the 3th product of the0th component the0th damage type select the the1th route restore time is,[2]
The type of the 3th product of the0th component the0th damage type select the the2th route restore time is,[2]
The type of the 3th product of the0th component the1th damage type select the the0th route restore time is,[2]
The type of the 3th product of the0th component the1th damage type select the the1th route restore time is,[2]
The type of the 3th product of the0th component the1th damage type select the the2th route restore time is,[2]
The type of the 3th product of the0th component the1th damage type select the the3th route restore time is,[2]
The type of the 3th product of the0th component the2th damage type select the the0th route restore time is,[2]
The type of the 3th product of the0th component the2th damage type select the the1th route restore time is,[2]
The type of the 3th product of the1th component the0th damage type select the the0th route restore time is,[3]
The type of the 3th product of the1th component the0th damage type select the the1th route restore time is,[3]
The type of the 3th product of the1th component the0th damage type select the the2th route restore time is,[4]
The type of the 3th product of the1th component the1th damage type select the the0th route restore time is,[4]
The type of the 3th product of the1th component the1th damage type select the the1th route restore time is,[5]
The type of the 3th product of the1th component the1th damage type select the the2th route restore time is,[3]
The type of the 3th product of the1th component the2th damage type select the the0th route restore time is,[4]
The type of the 3th product of the1th component the2th damage type select the the1th route restore time is,[3]
The type of the 3th product of the1th component the2th damage type select the the2th route restore time is,[4]
The type of the 3th product of the2th component the0th damage type select the the0th route restore time is,[4]
The type of the 3th product of the2th component the0th damage type select the the1th route restore time is,[6]
The type of the 3th product of the2th component the0th damage type select the the2th route restore time is,[5]
The type of the 3th product of the2th component the0th damage type select the the3th route restore time is,[5]
The type of the 3th product of the3th component the0th damage type select the the0th route restore time is,[15]
The type of the 3th product of the3th component the0th damage type select the the1th route restore time is,[10]
The type of the 3th product of the3th component the0th damage type select the the2th route restore time is,[14]
The type of the 3th product of the3th component the1th damage type select the the0th route restore time is,[8]
The type of the 3th product of the3th component the1th damage type select the the1th route restore time is,[7]
The type of the 3th product of the3th component the1th damage type select the the2th route restore time is,[17]
The type of the 4th product of the0th component the0th damage type select the the0th route restore time is,[4]
The type of the 4th product of the0th component the0th damage type select the the1th route restore time is,[3]
The type of the 4th product of the0th component the0th damage type select the the2th route restore time is,[4]
The type of the 4th product of the0th component the1th damage type select the the0th route restore time is,[7]
The type of the 4th product of the0th component the1th damage type select the the1th route restore time is,[4]
The type of the 4th product of the0th component the1th damage type select the the2th route restore time is,[3]
The type of the 4th product of the0th component the2th damage type select the the0th route restore time is,[4]
The type of the 4th product of the0th component the2th damage type select the the1th route restore time is,[5]
The type of the 4th product of the0th component the2th damage type select the the2th route restore time is,[3]
The type of the 4th product of the0th component the2th damage type select the the3th route restore time is,[7]
The type of the 4th product of the1th component the0th damage type select the the0th route restore time is,[3]
The type of the 4th product of the1th component the0th damage type select the the1th route restore time is,[3]
The type of the 4th product of the1th component the0th damage type select the the2th route restore time is,[4]
The type of the 4th product of the1th component the1th damage type select the the0th route restore time is,[3]
The type of the 4th product of the1th component the1th damage type select the the1th route restore time is,[4]
The type of the 4th product of the1th component the1th damage type select the the2th route restore time is,[2]
The type of the 4th product of the1th component the1th damage type select the the3th route restore time is,[2]
The type of the 4th product of the1th component the2th damage type select the the0th route restore time is,[4]
The type of the 4th product of the1th component the2th damage type select the the1th route restore time is,[4]
The type of the 4th product of the1th component the2th damage type select the the2th route restore time is,[4]
The type of the 4th product of the1th component the2th damage type select the the3th route restore time is,[4]
The type of the 4th product of the2th component the0th damage type select the the0th route restore time is,[5]
The type of the 4th product of the2th component the0th damage type select the the1th route restore time is,[4]
The type of the 4th product of the2th component the0th damage type select the the2th route restore time is,[4]
The type of the 4th product of the2th component the0th damage type select the the3th route restore time is,[7]
The type of the 4th product of the3th component the0th damage type select the the0th route restore time is,[6]
The type of the 4th product of the3th component the0th damage type select the the1th route restore time is,[14]
The type of the 4th product of the3th component the0th damage type select the the2th route restore time is,[16]
The type of the 4th product of the3th component the1th damage type select the the0th route restore time is,[6]
The type of the 4th product of the3th component the1th damage type select the the1th route restore time is,[9]
The type of the 4th product of the3th component the1th damage type select the the2th route restore time is,[6]
The type of the 4th product of the3th component the2th damage type select the the0th route restore time is,[16]
The type of the 4th product of the3th component the2th damage type select the the1th route restore time is,[12]
The type of the 4th product of the3th component the2th damage type select the the2th route restore time is,[6]
