,n,22,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
27,1,8,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,8,2,,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,
29,1,8,3,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
30,1,9,1,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
31,1,9,2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,9,3,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
33,2,3,1,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,
34,2,3,2,,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
35,2,3,3,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
36,2,6,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,6,2,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,
38,2,6,3,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
39,2,6,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,4,1,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
41,2,4,2,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,
42,2,4,3,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
43,2,10,1,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,
44,2,10,2,,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
45,2,10,3,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
46,2,11,1,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
47,2,11,2,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
48,2,11,3,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
49,2,12,1,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,
50,2,12,2,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
51,2,12,3,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,
52,2,22,1,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
53,2,22,2,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
54,2,22,3,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
55,2,22,4,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
56,2,23,1,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,
57,3,15,1,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
58,3,15,2,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
59,3,15,3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
60,3,16,1,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
61,3,16,2,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
62,3,16,3,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
63,3,16,4,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
64,3,17,1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
65,3,17,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
66,3,17,3,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
67,4,91,1,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
68,4,91,2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
69,4,91,3,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,
70,4,49,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
71,4,49,2,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,
72,4,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
73,4,49,4,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,
74,4,93,1,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
75,4,93,2,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
76,4,93,3,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
77,4,93,4,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,
78,4,20,1,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,,
79,4,20,2,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
80,4,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
81,4,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
82,4,21,2,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
83,4,21,3,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Cell,Cell,Transportation Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Job,Due Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,5,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,8,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,11,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,15,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,91,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,93,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,No,Reference_point1,Reference_point2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1,65,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2,69,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,3,72,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4,67,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,5,63,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,6,62,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,7,67,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,8,72,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,9,66,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,10,73,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,11,77,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,12,64,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,13,74,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,14,74,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,15,75,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,16,70,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,17,73,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,18,77,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,19,75,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,20,70,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,21,66,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,22,73,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,23,68,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,24,72,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,25,65,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,26,70,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,27,67,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,28,68,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,29,77,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,30,77,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,31,72,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,32,63,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,33,63,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,34,70,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,35,77,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,36,74,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,37,63,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,38,68,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,39,68,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,40,77,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,41,69,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,42,63,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,43,67,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,44,67,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,45,71,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,46,75,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,47,63,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,48,76,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,49,75,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,50,66,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,51,64,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,52,69,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,53,70,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,54,63,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,55,66,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,56,74,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,57,64,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,58,77,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,59,77,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,60,75,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,61,77,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,62,73,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,63,62,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,64,64,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,65,66,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,66,63,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,67,69,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,68,77,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,69,75,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,70,76,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,71,67,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,72,73,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,73,63,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,74,72,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,75,62,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,76,65,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,77,71,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,78,64,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,79,72,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,80,67,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,81,64,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,82,75,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,83,67,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,84,73,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,85,75,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,86,69,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,87,73,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,88,68,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,89,74,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,90,63,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,91,68,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,92,62,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,93,77,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,94,66,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,95,72,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,96,69,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,97,67,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,98,76,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,99,67,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,100,75,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,101,77,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,102,68,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,103,63,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,104,69,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,105,65,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,106,74,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,107,65,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,108,64,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,109,77,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,110,63,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,111,70,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,112,72,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,113,68,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,114,77,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,115,76,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,116,68,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,117,72,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,118,67,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,119,70,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,120,72,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,121,68,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,122,72,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,123,71,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,124,66,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,125,65,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,126,67,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,127,71,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,128,73,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,129,72,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,130,73,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,131,62,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,132,76,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,133,62,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,134,69,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,135,72,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,136,74,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,137,70,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,138,63,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,139,64,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,140,75,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,141,72,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,142,64,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,143,72,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,144,70,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,145,63,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,146,68,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,147,64,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,148,62,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,149,71,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,150,64,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,151,74,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,152,72,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,153,75,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,154,72,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,155,65,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,156,77,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,157,63,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,158,70,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,159,77,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,160,69,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,161,64,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,162,67,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,163,72,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,164,76,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,165,63,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,166,69,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,167,66,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,168,68,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,169,76,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,170,69,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,171,71,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,172,64,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,173,65,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,174,69,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,175,77,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,176,66,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,177,62,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,178,74,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,179,70,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,180,69,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,181,68,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,182,68,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,183,65,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,184,76,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,185,64,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,186,69,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,187,63,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,188,65,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,189,77,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,190,65,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,191,73,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,192,63,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,193,71,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,194,72,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,195,63,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,196,65,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,197,70,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,198,77,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,199,71,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,200,64,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,201,67,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
