,n,30,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
135,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Cell,Cell,Transportation Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Job,Due Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,69,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,70,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,71,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,47,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,48,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,32,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,45,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,34,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,35,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,36,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,37,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,No,Reference_point1,Reference_point2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1,54,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2,60,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,3,66,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4,57,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,5,49,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,6,47,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,7,56,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,8,66,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,9,55,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,10,67,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,11,74,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,12,51,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,13,70,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,14,70,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,15,70,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,16,63,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,17,67,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,18,75,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,19,71,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,20,61,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,21,54,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,22,67,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,23,59,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,24,66,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,25,54,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,26,62,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,27,57,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,28,58,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,29,74,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,30,75,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,31,65,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,32,50,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,33,49,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,34,62,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,35,75,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,36,70,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,37,49,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,38,59,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,39,58,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,40,74,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,41,61,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,42,48,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,43,57,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,44,57,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,45,64,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,46,71,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,47,49,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,48,72,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,49,72,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,50,55,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,51,50,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,52,60,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,53,63,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,54,48,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,55,54,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,56,68,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,57,50,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,58,75,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,59,75,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,60,71,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,61,74,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,62,66,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,63,47,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,64,50,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,65,55,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,66,49,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,67,60,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,68,75,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,69,71,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,70,73,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,71,56,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,72,68,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,73,49,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,74,65,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,75,47,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,76,54,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,77,65,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,78,52,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,79,66,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,80,57,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,81,52,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,82,72,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,83,57,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,84,67,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,85,71,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,86,60,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,87,68,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,88,58,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,89,70,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,90,49,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,91,58,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,92,48,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,93,74,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,94,55,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,95,65,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,96,59,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,97,56,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,98,72,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,99,56,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,100,70,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,101,75,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,102,58,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,103,49,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,104,60,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,105,53,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,106,69,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,107,53,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,108,51,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,109,74,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,110,49,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,111,62,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,112,66,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,113,59,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
