,n,27,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Cell,Cell,Transportation Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Job,Due Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,8,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,38,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,40,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,42,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,43,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,32,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,50,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,51,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,52,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,34,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,35,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,36,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,37,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,53,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,54,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,55,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,No,Reference_point1,Reference_point2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1,36,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2,40,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,3,43,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,4,38,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,5,34,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,6,33,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,7,38,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,8,43,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,9,37,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,10,44,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,11,48,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,12,35,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,13,45,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,14,45,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,15,46,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,16,41,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,17,44,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,18,48,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,19,46,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,20,41,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,21,37,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,22,44,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,23,39,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,24,43,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,25,36,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,26,41,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,27,38,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,28,39,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,29,48,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,30,48,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,31,43,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,32,34,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,33,34,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,34,41,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,35,48,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,36,45,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,37,34,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,38,39,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,39,39,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,40,48,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,41,40,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,42,34,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,43,38,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,44,38,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,45,42,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,46,46,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,47,34,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,48,47,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,49,46,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,50,37,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,51,35,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,52,40,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,53,41,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,54,34,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,55,37,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,56,45,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,57,35,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,58,48,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,59,48,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,60,46,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,61,48,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,62,44,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,63,33,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,64,35,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,65,37,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,66,34,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,67,40,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,68,48,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,69,46,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,70,47,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,71,38,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,72,44,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,73,34,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,74,43,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,75,33,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,76,36,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,77,42,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,78,35,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,79,43,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,80,38,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,81,35,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,82,46,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,83,38,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,84,44,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,85,46,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,86,40,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,87,44,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,88,39,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,89,45,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,90,34,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,91,39,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,92,33,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,93,48,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,94,37,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,95,43,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,96,40,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,97,38,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,98,47,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,99,38,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,100,46,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,101,48,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,102,39,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,103,34,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,104,40,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,105,36,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,106,45,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,107,36,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,108,35,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,109,48,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,110,34,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,111,41,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,112,43,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,113,39,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,114,48,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,115,47,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,116,39,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,117,43,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,118,38,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,119,41,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,120,43,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,121,39,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,122,43,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,123,42,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,124,37,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,125,36,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,126,38,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,127,42,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,128,44,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,129,43,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,130,44,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,131,33,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,132,47,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
