,n,40,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
18,1,2,2,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
19,1,2,3,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
20,1,5,1,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,
21,1,5,2,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
22,1,5,3,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
23,1,5,4,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,
24,1,9,1,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
25,1,9,2,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
26,1,9,3,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
27,1,69,1,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
28,1,69,2,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
29,1,69,3,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
30,1,69,4,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
31,1,70,1,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
32,1,70,2,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
33,1,70,3,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
34,1,71,1,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
35,1,71,2,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
36,1,71,3,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
37,1,71,4,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
38,1,72,1,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
39,1,72,2,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
40,1,72,3,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,
41,2,3,1,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,
42,2,3,2,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
43,2,3,3,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
44,2,4,1,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
45,2,4,2,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
46,2,4,3,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
47,2,6,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
48,2,6,2,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,
49,2,6,3,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
50,2,6,4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
51,2,10,1,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
52,2,10,2,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
53,2,10,3,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,
54,2,22,1,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,
55,2,22,2,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
56,2,22,3,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,
57,2,22,4,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
58,2,23,1,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,
59,2,73,1,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,
60,2,73,2,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
61,3,15,1,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
62,3,15,2,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
63,3,15,3,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
64,3,16,1,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
65,3,16,2,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
66,3,16,3,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
67,3,16,4,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
68,3,17,1,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
69,3,17,2,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
70,3,17,3,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
71,3,47,1,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,
72,3,47,2,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
73,3,47,3,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
74,3,47,4,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,
75,3,48,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
76,3,48,2,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
77,3,48,3,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
78,3,30,1,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
79,3,30,2,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
80,3,30,3,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
81,3,30,4,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
82,4,18,1,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,
83,4,18,2,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,
84,4,24,1,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,
85,4,24,2,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,
86,4,24,3,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,
87,4,33,1,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
88,4,33,2,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
89,4,33,3,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,
90,4,33,4,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
91,4,46,1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
92,4,46,2,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,
93,4,46,3,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
94,4,19,1,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,
95,4,19,2,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
96,4,19,3,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
97,4,67,1,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,
98,4,67,2,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
99,4,67,3,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,
100,4,67,4,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,
101,4,68,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
102,4,68,2,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,
103,4,68,3,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,
104,4,68,4,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,
105,5,45,1,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
106,5,45,2,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
107,5,45,3,,,,,,,,,,,,,,,,,,,8.0,,,,,,,
108,5,45,4,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
109,5,34,1,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
110,5,34,2,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
111,5,34,3,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
112,5,34,4,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
113,5,35,1,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
114,5,35,2,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
115,5,35,3,,,,,,,,,,,,,,,,,,,7.0,,,,,,,
116,5,36,1,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
117,5,36,2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
118,5,36,3,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
119,5,36,4,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
120,5,37,1,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
121,5,37,2,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
122,5,37,3,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
123,5,37,4,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
124,6,60,1,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
125,6,60,2,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
126,6,60,3,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
127,6,60,4,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
128,6,61,1,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
129,6,61,2,,,,,,,,,,,,,,,,,,,,,,,7.0,,,
130,6,61,3,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
131,6,61,4,,,,,,,,,,,,,,,,,,,,,8.0,,,,,
132,6,62,1,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
133,6,62,2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
134,6,62,3,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
135,6,62,4,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
136,6,63,1,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
137,6,63,2,,,,,,,,,,,,,,,,,,,,,9.0,,,,,
138,6,63,3,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
139,6,63,4,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
140,6,64,1,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
141,6,64,2,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
142,6,64,3,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
143,6,64,4,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
144,6,65,1,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
145,6,65,2,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
146,6,65,3,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
147,6,66,1,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
148,6,66,2,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
149,6,66,3,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
150,6,66,4,,,,,,,,,,,,,,,,,,,,,,,,8.0,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,
165,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
166,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
167,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
168,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
169,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
170,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
172,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
173,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
174,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
175,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
176,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,
177,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
178,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
179,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,
180,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
181,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
182,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
183,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
184,6,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
185,6,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
186,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
187,6,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
188,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Cell,Cell,Transportation Time,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,
203,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
204,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
205,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
206,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
207,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
208,3,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
210,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
211,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
212,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
213,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
215,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
216,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
217,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
218,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
219,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
220,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
221,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
222,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
223,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,
224,6,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,
225,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
226,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Job,Due Date,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,5,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,69,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,70,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,71,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,72,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,73,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,15,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,47,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,48,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,18,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,24,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,67,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,68,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,45,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,34,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,35,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,36,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,37,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,60,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,61,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,62,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,63,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,64,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,65,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,66,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,No,Reference_point1,Reference_point2,,,,,,,,,,,,,,,,,,,,,,,,,,
271,1,67,283,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2,75,547,,,,,,,,,,,,,,,,,,,,,,,,,,
273,3,82,412,,,,,,,,,,,,,,,,,,,,,,,,,,
274,4,71,616,,,,,,,,,,,,,,,,,,,,,,,,,,
275,5,62,495,,,,,,,,,,,,,,,,,,,,,,,,,,
276,6,60,338,,,,,,,,,,,,,,,,,,,,,,,,,,
277,7,70,634,,,,,,,,,,,,,,,,,,,,,,,,,,
278,8,83,500,,,,,,,,,,,,,,,,,,,,,,,,,,
279,9,69,485,,,,,,,,,,,,,,,,,,,,,,,,,,
280,10,84,519,,,,,,,,,,,,,,,,,,,,,,,,,,
281,11,93,276,,,,,,,,,,,,,,,,,,,,,,,,,,
282,12,64,391,,,,,,,,,,,,,,,,,,,,,,,,,,
283,13,87,306,,,,,,,,,,,,,,,,,,,,,,,,,,
284,14,87,361,,,,,,,,,,,,,,,,,,,,,,,,,,
285,15,88,593,,,,,,,,,,,,,,,,,,,,,,,,,,
286,16,79,525,,,,,,,,,,,,,,,,,,,,,,,,,,
287,17,84,244,,,,,,,,,,,,,,,,,,,,,,,,,,
288,18,94,561,,,,,,,,,,,,,,,,,,,,,,,,,,
289,19,89,264,,,,,,,,,,,,,,,,,,,,,,,,,,
290,20,77,449,,,,,,,,,,,,,,,,,,,,,,,,,,
291,21,68,636,,,,,,,,,,,,,,,,,,,,,,,,,,
292,22,83,393,,,,,,,,,,,,,,,,,,,,,,,,,,
293,23,74,509,,,,,,,,,,,,,,,,,,,,,,,,,,
294,24,83,428,,,,,,,,,,,,,,,,,,,,,,,,,,
295,25,67,380,,,,,,,,,,,,,,,,,,,,,,,,,,
296,26,77,306,,,,,,,,,,,,,,,,,,,,,,,,,,
297,27,71,515,,,,,,,,,,,,,,,,,,,,,,,,,,
298,28,73,301,,,,,,,,,,,,,,,,,,,,,,,,,,
299,29,93,273,,,,,,,,,,,,,,,,,,,,,,,,,,
300,30,94,434,,,,,,,,,,,,,,,,,,,,,,,,,,
301,31,82,257,,,,,,,,,,,,,,,,,,,,,,,,,,
302,32,63,324,,,,,,,,,,,,,,,,,,,,,,,,,,
303,33,62,363,,,,,,,,,,,,,,,,,,,,,,,,,,
304,34,78,361,,,,,,,,,,,,,,,,,,,,,,,,,,
305,35,94,589,,,,,,,,,,,,,,,,,,,,,,,,,,
306,36,87,327,,,,,,,,,,,,,,,,,,,,,,,,,,
307,37,62,310,,,,,,,,,,,,,,,,,,,,,,,,,,
308,38,74,621,,,,,,,,,,,,,,,,,,,,,,,,,,
309,39,73,548,,,,,,,,,,,,,,,,,,,,,,,,,,
310,40,93,288,,,,,,,,,,,,,,,,,,,,,,,,,,
311,41,76,367,,,,,,,,,,,,,,,,,,,,,,,,,,
312,42,61,426,,,,,,,,,,,,,,,,,,,,,,,,,,
313,43,71,393,,,,,,,,,,,,,,,,,,,,,,,,,,
314,44,72,242,,,,,,,,,,,,,,,,,,,,,,,,,,
315,45,81,573,,,,,,,,,,,,,,,,,,,,,,,,,,
316,46,89,548,,,,,,,,,,,,,,,,,,,,,,,,,,
317,47,62,249,,,,,,,,,,,,,,,,,,,,,,,,,,
318,48,90,329,,,,,,,,,,,,,,,,,,,,,,,,,,
319,49,90,429,,,,,,,,,,,,,,,,,,,,,,,,,,
320,50,69,287,,,,,,,,,,,,,,,,,,,,,,,,,,
321,51,63,387,,,,,,,,,,,,,,,,,,,,,,,,,,
322,52,76,386,,,,,,,,,,,,,,,,,,,,,,,,,,
323,53,79,361,,,,,,,,,,,,,,,,,,,,,,,,,,
324,54,61,306,,,,,,,,,,,,,,,,,,,,,,,,,,
325,55,68,414,,,,,,,,,,,,,,,,,,,,,,,,,,
326,56,86,309,,,,,,,,,,,,,,,,,,,,,,,,,,
327,57,63,579,,,,,,,,,,,,,,,,,,,,,,,,,,
328,58,94,366,,,,,,,,,,,,,,,,,,,,,,,,,,
329,59,94,499,,,,,,,,,,,,,,,,,,,,,,,,,,
330,60,89,518,,,,,,,,,,,,,,,,,,,,,,,,,,
331,61,92,455,,,,,,,,,,,,,,,,,,,,,,,,,,
332,62,83,303,,,,,,,,,,,,,,,,,,,,,,,,,,
333,63,59,247,,,,,,,,,,,,,,,,,,,,,,,,,,
334,64,63,268,,,,,,,,,,,,,,,,,,,,,,,,,,
335,65,69,320,,,,,,,,,,,,,,,,,,,,,,,,,,
336,66,61,609,,,,,,,,,,,,,,,,,,,,,,,,,,
337,67,76,569,,,,,,,,,,,,,,,,,,,,,,,,,,
338,68,94,287,,,,,,,,,,,,,,,,,,,,,,,,,,
339,69,89,516,,,,,,,,,,,,,,,,,,,,,,,,,,
340,70,91,260,,,,,,,,,,,,,,,,,,,,,,,,,,
341,71,70,320,,,,,,,,,,,,,,,,,,,,,,,,,,
342,72,85,310,,,,,,,,,,,,,,,,,,,,,,,,,,
343,73,62,511,,,,,,,,,,,,,,,,,,,,,,,,,,
344,74,81,334,,,,,,,,,,,,,,,,,,,,,,,,,,
345,75,60,466,,,,,,,,,,,,,,,,,,,,,,,,,,
346,76,67,327,,,,,,,,,,,,,,,,,,,,,,,,,,
347,77,81,479,,,,,,,,,,,,,,,,,,,,,,,,,,
348,78,65,473,,,,,,,,,,,,,,,,,,,,,,,,,,
349,79,83,364,,,,,,,,,,,,,,,,,,,,,,,,,,
350,80,71,452,,,,,,,,,,,,,,,,,,,,,,,,,,
351,81,65,636,,,,,,,,,,,,,,,,,,,,,,,,,,
352,82,90,262,,,,,,,,,,,,,,,,,,,,,,,,,,
353,83,71,569,,,,,,,,,,,,,,,,,,,,,,,,,,
354,84,84,363,,,,,,,,,,,,,,,,,,,,,,,,,,
355,85,89,588,,,,,,,,,,,,,,,,,,,,,,,,,,
356,86,75,355,,,,,,,,,,,,,,,,,,,,,,,,,,
357,87,85,559,,,,,,,,,,,,,,,,,,,,,,,,,,
358,88,72,534,,,,,,,,,,,,,,,,,,,,,,,,,,
359,89,87,442,,,,,,,,,,,,,,,,,,,,,,,,,,
360,90,61,374,,,,,,,,,,,,,,,,,,,,,,,,,,
361,91,72,596,,,,,,,,,,,,,,,,,,,,,,,,,,
362,92,60,528,,,,,,,,,,,,,,,,,,,,,,,,,,
363,93,93,583,,,,,,,,,,,,,,,,,,,,,,,,,,
364,94,69,588,,,,,,,,,,,,,,,,,,,,,,,,,,
365,95,82,403,,,,,,,,,,,,,,,,,,,,,,,,,,
366,96,74,451,,,,,,,,,,,,,,,,,,,,,,,,,,
367,97,71,389,,,,,,,,,,,,,,,,,,,,,,,,,,
368,98,90,368,,,,,,,,,,,,,,,,,,,,,,,,,,
369,99,70,513,,,,,,,,,,,,,,,,,,,,,,,,,,
370,100,88,341,,,,,,,,,,,,,,,,,,,,,,,,,,
371,101,94,368,,,,,,,,,,,,,,,,,,,,,,,,,,
