,n,58,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
20,2,4,2,,,,,,,,,,,,"9,38","9,38","9,38","9,38","9,38","9,38","9,38",,,,,,,,,,,,,,,,,,,,,,,,
21,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,"5,25","5,25","5,25","5,25","5,25","5,25",,,,,,,,,,,
22,2,4,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,
24,2,5,1,,,,,,,,,,"1,31","1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,5,2,,,,,,,,,,,,"5,06","5,06","5,06","5,06","5,06","5,06","5,06",,,,,,,,,,,,,,,,,,,,,,,,
26,2,5,3,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,6,1,,,,,,,,,,"1,31","1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,6,2,,,,,,,,,,,,"5,06","5,06","5,06","5,06","5,06","5,06","5,06",,,,,,,,,,,,,,,,,,,,,,,,
29,2,6,3,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,7,1,,,,,,,,,,"0,19","0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,7,2,,,,,,,,,,,,"3,38","3,38","3,38","3,38","3,38","3,38","3,38",,,,,,,,,,,,,,,,,,,,,,,,
32,2,7,3,,,,,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2,9,1,,,,,,,,,,"1,15","1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,9,2,,,,,,,,,,,,"4,15","4,15","4,15","4,15","4,15","4,15","4,15",,,,,,,,,,,,,,,,,,,,,,,,
35,2,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5","4,5","4,5","4,5","4,5","4,5",,,,,,,,,,,
36,2,9,4,,,,,"2,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5","4,5","4,5","4,5",,,,,
38,2,12,1,,,,,,,,,,"0,09","0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,15","4,15","4,15","4,15",
40,2,17,1,,,,,,,,,,"3,38","3,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,
42,2,19,1,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,13","7,13","7,13","7,13",
44,2,20,1,,,,,,,,,,"0,38","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,5","13,5","13,5","13,5",
46,2,21,1,,,,,,,,,,"0,28","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2,21,2,,,,,,,,,,,,"11,25","11,25","11,25","11,25","11,25","11,25","11,25",,,,,,,,,,,,,,,,,,,,,,,,
48,2,22,1,,,,,,,,,,"0,23","0,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,22,2,,,,,,,,,,,,"9,35","9,35","9,35","9,35","9,35","9,35","9,35",,,,,,,,,,,,,,,,,,,,,,,,
50,2,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,"7,15","7,15","7,15","7,15","7,15","7,15",,,,,,,,,,,
51,2,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,
52,2,28,1,,,,,,,,,,"0,47","0,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,28,2,,,,,,,,,,,,"9,38","9,38","9,38","9,38","9,38","9,38","9,38",,,,,,,,,,,,,,,,,,,,,,,,
54,2,28,3,,,,,,,,,,,,,,,,,,,"23,28","23,28","23,28","23,28","23,28","23,28","23,28",,,,,,,,,,,,,,,,,
55,2,31,1,,,,,,,,,,"1,34","1,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,56","0,56","0,56","0,56",,,,,
57,2,31,3,,,,,,,,,,,,"18,56","18,56","18,56","18,56","18,56","18,56","18,56",,,,,,,,,,,,,,,,,,,,,,,,
58,2,31,4,,,,,,,,,,,,,,,,,,,"18,21","18,21","18,21","18,21","18,21","18,21","18,21",,,,,,,,,,,,,,,,,
59,2,32,1,,,,,,,,,,"0,21","0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,32,2,,,,,,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,33,1,,,,,,,,,,"1,34","1,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,56","0,56","0,56","0,56",,,,,
63,2,33,3,,,,,,,,,,,,"18,56","18,56","18,56","18,56","18,56","18,56","18,56",,,,,,,,,,,,,,,,,,,,,,,,
64,2,33,4,,,,,,,,,,,,,,,,,,,"18,21","18,21","18,21","18,21","18,21","18,21","18,21",,,,,,,,,,,,,,,,,
65,2,34,1,,,,,,,,,,"0,56","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2,34,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2,37,1,,,,,,,,,,"0,38","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,15","7,15","7,15","7,15",
69,2,40,1,,,,,,,,,,"1,15","1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,15","34,15","34,15","34,15",
71,2,42,1,,,,,,,,,,"0,38","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2,42,2,,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,38","3,38","3,38","3,38",,,,,
74,2,44,1,,,,,,,,,,"1,15","1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2,44,2,,,,,,,,,,,,"71,28","71,28","71,28","71,28","71,28","71,28","71,28",,,,,,,,,,,,,,,,,,,,,,,,
76,2,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,
77,2,44,4,,,,,,,,,,,,,,,,,,,,,,,,,,"7,5","7,5","7,5","7,5","7,5","7,5",,,,,,,,,,,
78,2,44,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,56","12,56","12,56","12,56",,,,,
79,2,44,6,,,,,,,,,,,,,,,,,,,"11,25","11,25","11,25","11,25","11,25","11,25","11,25",,,,,,,,,,,,,,,,,
80,2,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,"14,06","14,06","14,06","14,06","14,06","14,06",,,,,,,,,,,
81,2,44,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,18","2,18","2,18","2,18",,,,,
82,2,44,9,,,,,,,,,,,,"7,15","7,15","7,15","7,15","7,15","7,15","7,15",,,,,,,,,,,,,,,,,,,,,,,,
83,2,44,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,15","1,15","1,15","1,15",,,,,
84,2,44,11,,,,,,,,,,,,,,,,,,,"8,28","8,28","8,28","8,28","8,28","8,28","8,28",,,,,,,,,,,,,,,,,
85,2,44,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,15","4,15","4,15","4,15",,,,,
86,2,50,1,,,,,,,,,,"0,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2,50,2,,,,,,,,,,,,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
88,2,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5","1,5","1,5","1,5",,,,,
89,2,50,4,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2,53,1,,,,,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,54,54,
92,2,54,1,,,,,,,,,,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,54,54,
94,2,55,1,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2,57,1,,,,,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,129,129,129,
97,3,10,1,,,,,,,,,,"0,09","0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,3,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,06","2,06","2,06","2,06",
99,3,10,3,,,,,,,,,,,,,,,,,,,"1,5","1,5","1,5","1,5","1,5","1,5","1,5",,,,,,,,,,,,,,,,,
100,3,10,4,"8,44","8,44","8,44","8,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,06","2,06","2,06","2,06",,,,,
102,3,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,15","46,15","46,15","46,15",
103,3,23,2,,,,,,,,,,,,,,,,,,,"7,5","7,5","7,5","7,5","7,5","7,5","7,5",,,,,,,,,,,,,,,,,
104,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,
105,3,24,1,,,,,,"1,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3,25,1,,,,,,,,,,"0,38","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,31","16,31","16,31","16,31",
108,3,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,
109,3,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,38","3,38","3,38","3,38",
110,3,25,5,,,,,,,,,,,,,,,,,,,"2,39","2,39","2,39","2,39","2,39","2,39","2,39",,,,,,,,,,,,,,,,,
111,3,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,5","7,5","7,5","7,5",
112,3,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,13","1,13","1,13","1,13",,,,,
113,3,26,1,,,,,,,,,,,,"157,15","157,15","157,15","157,15","157,15","157,15","157,15",,,,,,,,,,,,,,,,,,,,,,,,
114,3,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,,,,,
115,3,26,3,180,180,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,28","77,28",,,,,,,,,
117,3,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201,38","201,38","201,38","201,38",,,,,
118,3,26,6,,,,,,,,,,,,,,,,,,,"79,5","79,5","79,5","79,5","79,5","79,5","79,5",,,,,,,,,,,,,,,,,
119,3,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,21","3,21","3,21","3,21",
120,3,35,2,,,,,,,,,,,,,,,,,,,"0,56","0,56","0,56","0,56","0,56","0,56","0,56",,,,,,,,,,,,,,,,,
121,3,36,1,,,,,,,,,,"1,15","1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,3,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,06","32,06","32,06","32,06",
123,3,36,3,,,,,,,,,,,,,,,,,,,"23,44","23,44","23,44","23,44","23,44","23,44","23,44",,,,,,,,,,,,,,,,,
124,3,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,38","3,38","3,38","3,38",
125,3,43,1,,,,,,,,,,"0,38","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,3,43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,5","7,5","7,5","7,5",
127,3,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,"6,03","6,03","6,03","6,03","6,03","6,03",,,,,,,,,,,
128,3,43,4,,,,,"2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,3,43,5,,,,,,,,,,,,,,,,,,,"4,5","4,5","4,5","4,5","4,5","4,5","4,5",,,,,,,,,,,,,,,,,
130,3,49,1,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,3,49,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,
132,3,49,3,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,
133,3,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,,,,,
134,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"5,28","5,28","5,28","5,28","5,28","5,28",,,,,,,,,,,
135,4,1,2,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,
136,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,"26,25","26,25","26,25","26,25","26,25","26,25",,,,,,,,,,,
137,4,1,4,,,,,,,,,,,,,,,,,,,"4,13","4,13","4,13","4,13","4,13","4,13","4,13",,,,,,,,,,,,,,,,,
138,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,15","34,15",,,,,,,,,
139,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5","4,5","4,5","4,5",,,,,
140,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,
141,4,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,38","3,38","3,38","3,38",,,,,
142,4,2,1,,,,,,,,,,"1,15","1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,09","32,09","32,09","32,09",
144,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,38","3,38",,,,,,,,,
145,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,,,,
146,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,13","10,13",,,,,,,,,
147,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,"72,38","72,38","72,38","72,38","72,38","72,38",,,,,,,,,,,
148,4,8,1,,,,,,,,,,"0,14","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,14","0,14","0,14","0,14",
150,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,"2,37","2,37","2,37","2,37","2,37","2,37",,,,,,,,,,,
151,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,28","0,28","0,28","0,28",,,,,
152,4,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,38","4,38","4,38","4,38",
153,4,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,23","3,23","3,23","3,23",,,,,
154,4,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,48","2,48","2,48","2,48",
155,4,11,1,,,,,,,,,,"0,18","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,4,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,18","10,18","10,18","10,18",
157,4,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,"3,45","3,45","3,45","3,45","3,45","3,45",,,,,,,,,,,
158,4,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,04","2,04","2,04","2,04",,,,,
159,4,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,18","11,18","11,18","11,18",
160,4,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,02","2,02","2,02","2,02",,,,,
161,4,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,37","8,37","8,37","8,37",
162,4,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,48","2,48","2,48","2,48",,,,,
163,4,14,1,,,,,,,,,,"0,19","0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,19","0,19","0,19","0,19",
165,4,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,"2,09","2,09","2,09","2,09","2,09","2,09",,,,,,,,,,,
166,4,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,19","0,19","0,19","0,19",,,,,
167,4,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,38","3,38","3,38","3,38",
168,4,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,53","2,53","2,53","2,53",,,,,
169,4,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,09","2,09","2,09","2,09",
170,4,15,1,,,,,,,,,,"0,19","0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,15","7,15","7,15","7,15",
172,4,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,"3,38","3,38","3,38","3,38","3,38","3,38",,,,,,,,,,,
173,4,15,4,,,,,"1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,4,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,09","2,09","2,09","2,09",,,,,
175,4,16,1,,,,,,,,,,"1,15","1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,
177,4,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5","4,5","4,5","4,5","4,5","4,5",,,,,,,,,,,
178,4,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,28","2,28","2,28","2,28",,,,,
179,4,16,5,,,,,"1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,4,18,1,,,,,,,,,"10,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,4,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,25","56,25","56,25","56,25",
182,4,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,06","5,06",,,,,,,,,
183,4,18,4,,,,,,,,,,,,,,,,,,,"54,21","54,21","54,21","54,21","54,21","54,21","54,21",,,,,,,,,,,,,,,,,
184,4,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,"37,5","37,5","37,5","37,5","37,5","37,5",,,,,,,,,,,
185,4,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,38","6,38",,,,,,,,,
186,4,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,28","17,28","17,28","17,28",
187,4,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,15","7,15",,,,,,,,,
188,4,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,38","6,38","6,38","6,38",,,,,
189,4,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,"25,15","25,15","25,15","25,15","25,15","25,15",,,,,,,,,,,
190,4,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,5","22,5","22,5","22,5",
191,4,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,,,,,,
192,4,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,15","10,15","10,15","10,15",
193,4,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,"28,13","28,13","28,13","28,13","28,13","28,13",,,,,,,,,,,
194,4,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,38","6,38","6,38","6,38",,,,,
195,4,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,,,,,,,,,
196,4,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,13","10,13","10,13","10,13",,,,,
197,4,29,10,,,,,,,,,,,,,,,,,,,"37,5","37,5","37,5","37,5","37,5","37,5","37,5",,,,,,,,,,,,,,,,,
198,4,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,,,,,
199,4,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,38","6,38","6,38","6,38",,,,,
200,4,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,"25,15","25,15","25,15","25,15","25,15","25,15",,,,,,,,,,,
201,4,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,5","22,5","22,5","22,5",
202,4,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,,,,,,
203,4,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,16","10,16","10,16","10,16",
204,4,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,"28,14","28,14","28,14","28,14","28,14","28,14",,,,,,,,,,,
205,4,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,38","6,38","6,38","6,38",,,,,
206,4,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,01","60,01",,,,,,,,,
207,4,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,13","10,13","10,13","10,13",,,,,
208,4,30,10,,,,,,,,,,,,,,,,,,,"37,51","37,51","37,51","37,51","37,51","37,51","37,51",,,,,,,,,,,,,,,,,
209,4,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,01","12,01","12,01","12,01",,,,,
210,4,39,1,,,,,,,,,,"1,24","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,4,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,53","17,53","17,53","17,53",
212,4,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,"5,09","5,09","5,09","5,09","5,09","5,09",,,,,,,,,,,
213,4,39,4,,,,,"1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
