,n,4,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
343,298,23,11,,,,,,,,
344,299,27,11,,,,,,,,
345,300,22,11,,,,,,,,
346,301,17,11,,,,,,,,
347,302,27,11,,,,,,,,
348,303,27,11,,,,,,,,
349,304,19,11,,,,,,,,
350,305,20,11,,,,,,,,
351,306,17,11,,,,,,,,
352,307,20,11,,,,,,,,
353,308,17,11,,,,,,,,
354,309,22,11,,,,,,,,
355,310,24,11,,,,,,,,
356,311,16,11,,,,,,,,
357,312,25,11,,,,,,,,
358,313,25,11,,,,,,,,
359,314,24,11,,,,,,,,
360,315,22,11,,,,,,,,
361,316,24,11,,,,,,,,
362,317,27,11,,,,,,,,
363,318,25,11,,,,,,,,
364,319,27,11,,,,,,,,
365,320,20,11,,,,,,,,
366,321,24,11,,,,,,,,
367,322,16,11,,,,,,,,
368,323,24,11,,,,,,,,
369,324,17,11,,,,,,,,
370,325,16,11,,,,,,,,
371,326,25,11,,,,,,,,
372,327,26,11,,,,,,,,
373,328,16,11,,,,,,,,
374,329,16,11,,,,,,,,
375,330,26,11,,,,,,,,
376,331,27,11,,,,,,,,
377,332,27,11,,,,,,,,
378,333,27,11,,,,,,,,
379,334,23,11,,,,,,,,
380,335,26,11,,,,,,,,
381,336,22,11,,,,,,,,
382,337,27,11,,,,,,,,
383,338,17,11,,,,,,,,
384,339,20,11,,,,,,,,
385,340,26,11,,,,,,,,
386,341,27,11,,,,,,,,
387,342,18,11,,,,,,,,
388,343,21,11,,,,,,,,
389,344,24,11,,,,,,,,
390,345,19,11,,,,,,,,
391,346,25,11,,,,,,,,
392,347,19,11,,,,,,,,
393,348,21,11,,,,,,,,
394,349,17,11,,,,,,,,
395,350,24,11,,,,,,,,
396,351,17,11,,,,,,,,
397,352,21,11,,,,,,,,
398,353,23,11,,,,,,,,
399,354,24,11,,,,,,,,
400,355,24,11,,,,,,,,
401,356,19,11,,,,,,,,
402,357,22,11,,,,,,,,
403,358,26,11,,,,,,,,
404,359,25,11,,,,,,,,
405,360,24,11,,,,,,,,
406,361,26,11,,,,,,,,
407,362,26,11,,,,,,,,
408,363,22,11,,,,,,,,
409,364,27,11,,,,,,,,
410,365,26,11,,,,,,,,
411,366,25,11,,,,,,,,
412,367,20,11,,,,,,,,
413,368,27,11,,,,,,,,
414,369,26,11,,,,,,,,
415,370,25,11,,,,,,,,
416,371,19,11,,,,,,,,
417,372,21,11,,,,,,,,
418,373,27,11,,,,,,,,
419,374,16,11,,,,,,,,
420,375,23,11,,,,,,,,
421,376,25,11,,,,,,,,
422,377,19,11,,,,,,,,
423,378,20,11,,,,,,,,
424,379,17,11,,,,,,,,
425,380,18,11,,,,,,,,
426,381,22,11,,,,,,,,
427,382,23,11,,,,,,,,
428,383,19,11,,,,,,,,
429,384,23,11,,,,,,,,
430,385,26,11,,,,,,,,
431,386,25,11,,,,,,,,
432,387,24,11,,,,,,,,
433,388,23,11,,,,,,,,
434,389,16,11,,,,,,,,
435,390,25,11,,,,,,,,
436,391,26,11,,,,,,,,
437,392,26,11,,,,,,,,
438,393,24,11,,,,,,,,
439,394,17,11,,,,,,,,
440,395,20,11,,,,,,,,
441,396,26,11,,,,,,,,
442,397,19,11,,,,,,,,
443,398,21,11,,,,,,,,
444,399,22,11,,,,,,,,
445,400,26,11,,,,,,,,
446,401,18,11,,,,,,,,
447,402,23,11,,,,,,,,
448,403,16,11,,,,,,,,
449,404,25,11,,,,,,,,
450,405,18,11,,,,,,,,
451,406,23,11,,,,,,,,
452,407,27,11,,,,,,,,
453,408,25,11,,,,,,,,
454,409,20,11,,,,,,,,
455,410,22,11,,,,,,,,
456,411,23,11,,,,,,,,
457,412,21,11,,,,,,,,
458,413,16,11,,,,,,,,
459,414,16,11,,,,,,,,
460,415,19,11,,,,,,,,
461,416,17,11,,,,,,,,
462,417,26,11,,,,,,,,
463,418,22,11,,,,,,,,
464,419,26,11,,,,,,,,
465,420,17,11,,,,,,,,
466,421,21,11,,,,,,,,
467,422,20,11,,,,,,,,
468,423,23,11,,,,,,,,
469,424,17,11,,,,,,,,
470,425,19,11,,,,,,,,
471,426,23,11,,,,,,,,
472,427,24,11,,,,,,,,
473,428,21,11,,,,,,,,
474,429,24,11,,,,,,,,
475,430,23,11,,,,,,,,
476,431,20,11,,,,,,,,
477,432,19,11,,,,,,,,
478,433,22,11,,,,,,,,
479,434,22,11,,,,,,,,
480,435,27,11,,,,,,,,
481,436,18,11,,,,,,,,
482,437,21,11,,,,,,,,
483,438,22,11,,,,,,,,
484,439,23,11,,,,,,,,
485,440,26,11,,,,,,,,
486,441,23,11,,,,,,,,
487,442,19,11,,,,,,,,
488,443,27,11,,,,,,,,
489,444,16,11,,,,,,,,
490,445,18,11,,,,,,,,
491,446,26,11,,,,,,,,
492,447,23,11,,,,,,,,
493,448,25,11,,,,,,,,
494,449,19,11,,,,,,,,
495,450,17,11,,,,,,,,
496,451,27,11,,,,,,,,
497,452,25,11,,,,,,,,
498,453,18,11,,,,,,,,
499,454,22,11,,,,,,,,
500,455,19,11,,,,,,,,
501,456,22,11,,,,,,,,
502,457,18,11,,,,,,,,
503,458,24,11,,,,,,,,
504,459,26,11,,,,,,,,
505,460,23,11,,,,,,,,
506,461,25,11,,,,,,,,
507,462,16,11,,,,,,,,
508,463,19,11,,,,,,,,
509,464,22,11,,,,,,,,
510,465,21,11,,,,,,,,
511,466,25,11,,,,,,,,
512,467,24,11,,,,,,,,
513,468,22,11,,,,,,,,
514,469,21,11,,,,,,,,
515,470,24,11,,,,,,,,
516,471,23,11,,,,,,,,
517,472,23,11,,,,,,,,
518,473,25,11,,,,,,,,
519,474,22,11,,,,,,,,
520,475,16,11,,,,,,,,
521,476,20,11,,,,,,,,
522,477,17,11,,,,,,,,
523,478,27,11,,,,,,,,
524,479,25,11,,,,,,,,
525,480,25,11,,,,,,,,
526,481,26,11,,,,,,,,
527,482,27,11,,,,,,,,
528,483,23,11,,,,,,,,
529,484,18,11,,,,,,,,
530,485,22,11,,,,,,,,
531,486,24,11,,,,,,,,
532,487,24,11,,,,,,,,
533,488,25,11,,,,,,,,
534,489,26,11,,,,,,,,
535,490,26,11,,,,,,,,
536,491,26,11,,,,,,,,
537,492,23,11,,,,,,,,
538,493,27,11,,,,,,,,
539,494,24,11,,,,,,,,
540,495,17,11,,,,,,,,
541,496,16,11,,,,,,,,
542,497,21,11,,,,,,,,
543,498,23,11,,,,,,,,
544,499,23,11,,,,,,,,
545,500,19,11,,,,,,,,
546,501,25,11,,,,,,,,
547,502,16,11,,,,,,,,
548,503,27,11,,,,,,,,
549,504,17,11,,,,,,,,
550,505,26,11,,,,,,,,
551,506,21,11,,,,,,,,
552,507,19,11,,,,,,,,
553,508,25,11,,,,,,,,
554,509,18,11,,,,,,,,
555,510,16,11,,,,,,,,
556,511,16,11,,,,,,,,
557,512,16,11,,,,,,,,
558,513,27,11,,,,,,,,
559,514,19,11,,,,,,,,
560,515,21,11,,,,,,,,
561,516,22,11,,,,,,,,
562,517,27,11,,,,,,,,
563,518,23,11,,,,,,,,
564,519,16,11,,,,,,,,
565,520,25,11,,,,,,,,
566,521,25,11,,,,,,,,
567,522,17,11,,,,,,,,
568,523,23,11,,,,,,,,
569,524,16,11,,,,,,,,
570,525,18,11,,,,,,,,
571,526,21,11,,,,,,,,
572,527,22,11,,,,,,,,
573,528,16,11,,,,,,,,
574,529,21,11,,,,,,,,
575,530,17,11,,,,,,,,
576,531,21,11,,,,,,,,
577,532,23,11,,,,,,,,
578,533,19,11,,,,,,,,
579,534,22,11,,,,,,,,
580,535,25,11,,,,,,,,
581,536,25,11,,,,,,,,
582,537,21,11,,,,,,,,
583,538,26,11,,,,,,,,
584,539,17,11,,,,,,,,
585,540,24,11,,,,,,,,
586,541,21,11,,,,,,,,
587,542,21,11,,,,,,,,
588,543,23,11,,,,,,,,
589,544,24,11,,,,,,,,
590,545,26,11,,,,,,,,
591,546,27,11,,,,,,,,
592,547,20,11,,,,,,,,
593,548,25,11,,,,,,,,
594,549,16,11,,,,,,,,
595,550,27,11,,,,,,,,
596,551,26,11,,,,,,,,
597,552,19,11,,,,,,,,
598,553,16,11,,,,,,,,
599,554,27,11,,,,,,,,
600,555,24,11,,,,,,,,
601,556,21,11,,,,,,,,
602,557,26,11,,,,,,,,
603,558,17,11,,,,,,,,
604,559,16,11,,,,,,,,
605,560,18,11,,,,,,,,
606,561,22,11,,,,,,,,
607,562,22,11,,,,,,,,
608,563,20,11,,,,,,,,
609,564,19,11,,,,,,,,
610,565,16,11,,,,,,,,
611,566,20,11,,,,,,,,
612,567,25,11,,,,,,,,
613,568,22,11,,,,,,,,
614,569,27,11,,,,,,,,
615,570,23,11,,,,,,,,
616,571,17,11,,,,,,,,
617,572,23,11,,,,,,,,
618,573,23,11,,,,,,,,
619,574,22,11,,,,,,,,
620,575,16,11,,,,,,,,
621,576,19,11,,,,,,,,
622,577,17,11,,,,,,,,
623,578,26,11,,,,,,,,
624,579,16,11,,,,,,,,
625,580,21,11,,,,,,,,
626,581,21,11,,,,,,,,
627,582,24,11,,,,,,,,
628,583,18,11,,,,,,,,
629,584,26,11,,,,,,,,
630,585,17,11,,,,,,,,
631,586,19,11,,,,,,,,
632,587,19,11,,,,,,,,
633,588,17,11,,,,,,,,
634,589,22,11,,,,,,,,
635,590,17,11,,,,,,,,
636,591,26,11,,,,,,,,
637,592,17,11,,,,,,,,
638,593,19,11,,,,,,,,
639,594,23,11,,,,,,,,
640,595,20,11,,,,,,,,
641,596,25,11,,,,,,,,
642,597,17,11,,,,,,,,
643,598,20,11,,,,,,,,
644,599,19,11,,,,,,,,
645,600,16,11,,,,,,,,
646,601,20,11,,,,,,,,
647,602,22,11,,,,,,,,
648,603,19,11,,,,,,,,
649,604,25,11,,,,,,,,
650,605,22,11,,,,,,,,
651,606,17,11,,,,,,,,
652,607,21,11,,,,,,,,
653,608,25,11,,,,,,,,
654,609,23,11,,,,,,,,
655,610,26,11,,,,,,,,
656,611,17,11,,,,,,,,
657,612,18,11,,,,,,,,
658,613,21,11,,,,,,,,
659,614,19,11,,,,,,,,
660,615,27,11,,,,,,,,
661,616,20,11,,,,,,,,
662,617,19,11,,,,,,,,
663,618,24,11,,,,,,,,
664,619,17,11,,,,,,,,
665,620,18,11,,,,,,,,
666,621,21,11,,,,,,,,
667,622,22,11,,,,,,,,
668,623,24,11,,,,,,,,
669,624,27,11,,,,,,,,
670,625,18,11,,,,,,,,
671,626,25,11,,,,,,,,
672,627,23,11,,,,,,,,
673,628,25,11,,,,,,,,
674,629,24,11,,,,,,,,
675,630,19,11,,,,,,,,
676,631,23,11,,,,,,,,
677,632,26,11,,,,,,,,
678,633,26,11,,,,,,,,
679,634,20,11,,,,,,,,
680,635,24,11,,,,,,,,
681,636,24,11,,,,,,,,
682,637,27,11,,,,,,,,
683,638,21,11,,,,,,,,
684,639,19,11,,,,,,,,
685,640,23,11,,,,,,,,
686,641,26,11,,,,,,,,
687,642,17,11,,,,,,,,
688,643,27,11,,,,,,,,
689,644,21,11,,,,,,,,
690,645,21,11,,,,,,,,
691,646,19,11,,,,,,,,
692,647,17,11,,,,,,,,
693,648,24,11,,,,,,,,
694,649,27,11,,,,,,,,
695,650,18,11,,,,,,,,
696,651,24,11,,,,,,,,
697,652,27,11,,,,,,,,
698,653,26,11,,,,,,,,
699,654,17,11,,,,,,,,
700,655,23,11,,,,,,,,
701,656,20,11,,,,,,,,
702,657,23,11,,,,,,,,
703,658,22,11,,,,,,,,
704,659,20,11,,,,,,,,
705,660,25,11,,,,,,,,
706,661,23,11,,,,,,,,
707,662,24,11,,,,,,,,
708,663,22,11,,,,,,,,
709,664,17,11,,,,,,,,
710,665,25,11,,,,,,,,
711,666,20,11,,,,,,,,
712,667,25,11,,,,,,,,
713,668,24,11,,,,,,,,
714,669,22,11,,,,,,,,
715,670,23,11,,,,,,,,
716,671,18,11,,,,,,,,
717,672,22,11,,,,,,,,
718,673,24,11,,,,,,,,
719,674,20,11,,,,,,,,
720,675,18,11,,,,,,,,
721,676,23,11,,,,,,,,
722,677,26,11,,,,,,,,
723,678,16,11,,,,,,,,
724,679,16,11,,,,,,,,
725,680,26,11,,,,,,,,
726,681,21,11,,,,,,,,
727,682,19,11,,,,,,,,
728,683,18,11,,,,,,,,
729,684,25,11,,,,,,,,
730,685,18,11,,,,,,,,
731,686,22,11,,,,,,,,
732,687,26,11,,,,,,,,
733,688,21,11,,,,,,,,
734,689,24,11,,,,,,,,
735,690,26,11,,,,,,,,
736,691,20,11,,,,,,,,
737,692,16,11,,,,,,,,
738,693,25,11,,,,,,,,
739,694,23,11,,,,,,,,
740,695,27,11,,,,,,,,
741,696,27,11,,,,,,,,
742,697,26,11,,,,,,,,
743,698,16,11,,,,,,,,
744,699,16,11,,,,,,,,
745,700,25,11,,,,,,,,
746,701,26,11,,,,,,,,
747,702,27,11,,,,,,,,
748,703,17,11,,,,,,,,
749,704,24,11,,,,,,,,
750,705,17,11,,,,,,,,
751,706,24,11,,,,,,,,
752,707,21,11,,,,,,,,
753,708,23,11,,,,,,,,
754,709,25,11,,,,,,,,
755,710,21,11,,,,,,,,
756,711,17,11,,,,,,,,
757,712,24,11,,,,,,,,
758,713,22,11,,,,,,,,
759,714,25,11,,,,,,,,
760,715,20,11,,,,,,,,
761,716,19,11,,,,,,,,
762,717,16,11,,,,,,,,
763,718,26,11,,,,,,,,
764,719,16,11,,,,,,,,
765,720,17,11,,,,,,,,
766,721,17,11,,,,,,,,
767,722,17,11,,,,,,,,
768,723,21,11,,,,,,,,
769,724,25,11,,,,,,,,
770,725,26,11,,,,,,,,
771,726,22,11,,,,,,,,
772,727,26,11,,,,,,,,
773,728,25,11,,,,,,,,
774,729,27,11,,,,,,,,
775,730,17,11,,,,,,,,
776,731,19,11,,,,,,,,
777,732,17,11,,,,,,,,
778,733,21,11,,,,,,,,
779,734,18,11,,,,,,,,
780,735,18,11,,,,,,,,
781,736,21,11,,,,,,,,
782,737,27,11,,,,,,,,
783,738,18,11,,,,,,,,
784,739,21,11,,,,,,,,
785,740,23,11,,,,,,,,
786,741,21,11,,,,,,,,
787,742,21,11,,,,,,,,
788,743,23,11,,,,,,,,
789,744,22,11,,,,,,,,
790,745,18,11,,,,,,,,
791,746,25,11,,,,,,,,
792,747,18,11,,,,,,,,
793,748,22,11,,,,,,,,
794,749,27,11,,,,,,,,
795,750,24,11,,,,,,,,
796,751,22,11,,,,,,,,
797,752,23,11,,,,,,,,
798,753,17,11,,,,,,,,
799,754,27,11,,,,,,,,
800,755,19,11,,,,,,,,
801,756,26,11,,,,,,,,
802,757,19,11,,,,,,,,
803,758,20,11,,,,,,,,
804,759,26,11,,,,,,,,
805,760,21,11,,,,,,,,
806,761,25,11,,,,,,,,
807,762,19,11,,,,,,,,
808,763,17,11,,,,,,,,
809,764,18,11,,,,,,,,
810,765,17,11,,,,,,,,
811,766,16,11,,,,,,,,
812,767,25,11,,,,,,,,
813,768,19,11,,,,,,,,
814,769,20,11,,,,,,,,
815,770,23,11,,,,,,,,
816,771,20,11,,,,,,,,
817,772,20,11,,,,,,,,
818,773,23,11,,,,,,,,
819,774,26,11,,,,,,,,
820,775,27,11,,,,,,,,
821,776,27,11,,,,,,,,
822,777,23,11,,,,,,,,
823,778,20,11,,,,,,,,
824,779,16,11,,,,,,,,
825,780,25,11,,,,,,,,
826,781,26,11,,,,,,,,
827,782,16,11,,,,,,,,
828,783,24,11,,,,,,,,
829,784,23,11,,,,,,,,
830,785,16,11,,,,,,,,
831,786,26,11,,,,,,,,
832,787,24,11,,,,,,,,
833,788,25,11,,,,,,,,
834,789,18,11,,,,,,,,
835,790,27,11,,,,,,,,
836,791,21,11,,,,,,,,
837,792,25,11,,,,,,,,
838,793,20,11,,,,,,,,
839,794,24,11,,,,,,,,
840,795,17,11,,,,,,,,
841,796,17,11,,,,,,,,
842,797,25,11,,,,,,,,
843,798,23,11,,,,,,,,
844,799,19,11,,,,,,,,
845,800,25,11,,,,,,,,
846,801,25,11,,,,,,,,
847,802,26,11,,,,,,,,
848,803,20,11,,,,,,,,
849,804,26,11,,,,,,,,
850,805,25,11,,,,,,,,
851,806,24,11,,,,,,,,
852,807,27,11,,,,,,,,
