,n,11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
233,147,38,103,,,,,,,,,,,,
234,148,35,90,,,,,,,,,,,,
235,149,47,104,,,,,,,,,,,,
236,150,38,131,,,,,,,,,,,,
237,151,51,127,,,,,,,,,,,,
238,152,49,83,,,,,,,,,,,,
239,153,52,93,,,,,,,,,,,,
240,154,48,104,,,,,,,,,,,,
241,155,39,116,,,,,,,,,,,,
242,156,55,86,,,,,,,,,,,,
243,157,37,107,,,,,,,,,,,,
244,158,45,98,,,,,,,,,,,,
245,159,55,109,,,,,,,,,,,,
246,160,45,122,,,,,,,,,,,,
247,161,38,82,,,,,,,,,,,,
248,162,41,101,,,,,,,,,,,,
249,163,49,86,,,,,,,,,,,,
250,164,53,77,,,,,,,,,,,,
251,165,36,126,,,,,,,,,,,,
252,166,44,116,,,,,,,,,,,,
253,167,41,127,,,,,,,,,,,,
254,168,43,120,,,,,,,,,,,,
255,169,54,134,,,,,,,,,,,,
256,170,45,97,,,,,,,,,,,,
257,171,47,76,,,,,,,,,,,,
258,172,38,98,,,,,,,,,,,,
259,173,39,87,,,,,,,,,,,,
260,174,44,112,,,,,,,,,,,,
261,175,55,111,,,,,,,,,,,,
262,176,40,75,,,,,,,,,,,,
263,177,35,97,,,,,,,,,,,,
264,178,51,113,,,,,,,,,,,,
265,179,46,89,,,,,,,,,,,,
266,180,44,112,,,,,,,,,,,,
267,181,43,111,,,,,,,,,,,,
268,182,43,96,,,,,,,,,,,,
269,183,39,92,,,,,,,,,,,,
270,184,53,88,,,,,,,,,,,,
271,185,38,120,,,,,,,,,,,,
272,186,44,134,,,,,,,,,,,,
273,187,36,81,,,,,,,,,,,,
274,188,39,82,,,,,,,,,,,,
275,189,55,131,,,,,,,,,,,,
276,190,39,103,,,,,,,,,,,,
277,191,50,91,,,,,,,,,,,,
278,192,36,103,,,,,,,,,,,,
279,193,47,102,,,,,,,,,,,,
280,194,49,129,,,,,,,,,,,,
281,195,36,120,,,,,,,,,,,,
282,196,39,116,,,,,,,,,,,,
283,197,46,126,,,,,,,,,,,,
284,198,54,133,,,,,,,,,,,,
285,199,47,122,,,,,,,,,,,,
286,200,38,132,,,,,,,,,,,,
287,201,41,88,,,,,,,,,,,,
288,202,44,87,,,,,,,,,,,,
289,203,38,91,,,,,,,,,,,,
290,204,54,128,,,,,,,,,,,,
291,205,38,114,,,,,,,,,,,,
292,206,48,112,,,,,,,,,,,,
293,207,35,134,,,,,,,,,,,,
294,208,53,84,,,,,,,,,,,,
295,209,45,131,,,,,,,,,,,,
296,210,51,121,,,,,,,,,,,,
297,211,47,134,,,,,,,,,,,,
298,212,37,98,,,,,,,,,,,,
299,213,46,121,,,,,,,,,,,,
300,214,44,88,,,,,,,,,,,,
301,215,38,89,,,,,,,,,,,,
302,216,45,86,,,,,,,,,,,,
303,217,51,90,,,,,,,,,,,,
304,218,38,105,,,,,,,,,,,,
305,219,51,127,,,,,,,,,,,,
306,220,41,93,,,,,,,,,,,,
307,221,46,122,,,,,,,,,,,,
308,222,50,100,,,,,,,,,,,,
309,223,36,110,,,,,,,,,,,,
310,224,48,107,,,,,,,,,,,,
311,225,55,122,,,,,,,,,,,,
312,226,44,115,,,,,,,,,,,,
313,227,35,97,,,,,,,,,,,,
314,228,42,94,,,,,,,,,,,,
315,229,36,79,,,,,,,,,,,,
316,230,49,97,,,,,,,,,,,,
317,231,51,116,,,,,,,,,,,,
318,232,50,129,,,,,,,,,,,,
319,233,38,102,,,,,,,,,,,,
320,234,52,121,,,,,,,,,,,,
321,235,52,98,,,,,,,,,,,,
322,236,42,113,,,,,,,,,,,,
323,237,47,102,,,,,,,,,,,,
324,238,40,123,,,,,,,,,,,,
325,239,39,117,,,,,,,,,,,,
326,240,41,132,,,,,,,,,,,,
327,241,37,130,,,,,,,,,,,,
328,242,40,97,,,,,,,,,,,,
329,243,51,124,,,,,,,,,,,,
330,244,38,99,,,,,,,,,,,,
331,245,54,124,,,,,,,,,,,,
332,246,43,118,,,,,,,,,,,,
333,247,39,132,,,,,,,,,,,,
334,248,45,125,,,,,,,,,,,,
335,249,36,125,,,,,,,,,,,,
336,250,40,113,,,,,,,,,,,,
337,251,50,127,,,,,,,,,,,,
338,252,49,109,,,,,,,,,,,,
339,253,44,124,,,,,,,,,,,,
340,254,36,109,,,,,,,,,,,,
341,255,37,107,,,,,,,,,,,,
342,256,37,97,,,,,,,,,,,,
343,257,51,117,,,,,,,,,,,,
344,258,40,127,,,,,,,,,,,,
345,259,44,95,,,,,,,,,,,,
346,260,37,94,,,,,,,,,,,,
347,261,41,101,,,,,,,,,,,,
348,262,53,75,,,,,,,,,,,,
349,263,55,113,,,,,,,,,,,,
350,264,43,113,,,,,,,,,,,,
351,265,54,99,,,,,,,,,,,,
352,266,50,98,,,,,,,,,,,,
353,267,44,115,,,,,,,,,,,,
354,268,39,89,,,,,,,,,,,,
355,269,39,115,,,,,,,,,,,,
356,270,54,133,,,,,,,,,,,,
357,271,50,111,,,,,,,,,,,,
358,272,40,97,,,,,,,,,,,,
359,273,50,77,,,,,,,,,,,,
360,274,54,104,,,,,,,,,,,,
361,275,49,112,,,,,,,,,,,,
362,276,43,118,,,,,,,,,,,,
363,277,50,132,,,,,,,,,,,,
364,278,42,93,,,,,,,,,,,,
365,279,35,116,,,,,,,,,,,,
366,280,47,123,,,,,,,,,,,,
367,281,43,101,,,,,,,,,,,,
368,282,48,117,,,,,,,,,,,,
369,283,51,117,,,,,,,,,,,,
370,284,54,81,,,,,,,,,,,,
371,285,45,75,,,,,,,,,,,,
372,286,48,120,,,,,,,,,,,,
373,287,43,84,,,,,,,,,,,,
374,288,46,116,,,,,,,,,,,,
375,289,38,104,,,,,,,,,,,,
376,290,40,129,,,,,,,,,,,,
377,291,49,130,,,,,,,,,,,,
378,292,54,94,,,,,,,,,,,,
379,293,35,75,,,,,,,,,,,,
380,294,49,103,,,,,,,,,,,,
381,295,41,128,,,,,,,,,,,,
382,296,39,107,,,,,,,,,,,,
383,297,36,83,,,,,,,,,,,,
384,298,47,93,,,,,,,,,,,,
385,299,55,109,,,,,,,,,,,,
386,300,47,76,,,,,,,,,,,,
387,301,37,125,,,,,,,,,,,,
388,302,55,116,,,,,,,,,,,,
389,303,55,113,,,,,,,,,,,,
390,304,41,108,,,,,,,,,,,,
391,305,43,114,,,,,,,,,,,,
392,306,38,105,,,,,,,,,,,,
393,307,43,116,,,,,,,,,,,,
394,308,37,102,,,,,,,,,,,,
395,309,45,92,,,,,,,,,,,,
396,310,49,122,,,,,,,,,,,,
397,311,35,103,,,,,,,,,,,,
398,312,51,111,,,,,,,,,,,,
399,313,51,81,,,,,,,,,,,,
400,314,49,90,,,,,,,,,,,,
401,315,46,90,,,,,,,,,,,,
402,316,49,110,,,,,,,,,,,,
403,317,54,90,,,,,,,,,,,,
404,318,52,125,,,,,,,,,,,,
405,319,54,88,,,,,,,,,,,,
406,320,42,97,,,,,,,,,,,,
407,321,49,81,,,,,,,,,,,,
408,322,36,115,,,,,,,,,,,,
409,323,50,117,,,,,,,,,,,,
410,324,37,97,,,,,,,,,,,,
411,325,35,82,,,,,,,,,,,,
412,326,51,115,,,,,,,,,,,,
413,327,53,122,,,,,,,,,,,,
414,328,35,113,,,,,,,,,,,,
415,329,36,97,,,,,,,,,,,,
416,330,54,126,,,,,,,,,,,,
417,331,54,79,,,,,,,,,,,,
418,332,55,83,,,,,,,,,,,,
419,333,54,108,,,,,,,,,,,,
420,334,47,83,,,,,,,,,,,,
421,335,53,92,,,,,,,,,,,,
422,336,45,92,,,,,,,,,,,,
423,337,54,94,,,,,,,,,,,,
424,338,37,129,,,,,,,,,,,,
425,339,43,81,,,,,,,,,,,,
426,340,53,79,,,,,,,,,,,,
427,341,55,94,,,,,,,,,,,,
428,342,39,101,,,,,,,,,,,,
429,343,44,76,,,,,,,,,,,,
430,344,50,83,,,,,,,,,,,,
431,345,40,85,,,,,,,,,,,,
432,346,50,109,,,,,,,,,,,,
433,347,41,104,,,,,,,,,,,,
434,348,43,112,,,,,,,,,,,,
435,349,37,131,,,,,,,,,,,,
436,350,50,86,,,,,,,,,,,,
437,351,37,134,,,,,,,,,,,,
438,352,45,119,,,,,,,,,,,,
439,353,48,105,,,,,,,,,,,,
440,354,50,107,,,,,,,,,,,,
441,355,49,80,,,,,,,,,,,,
442,356,40,132,,,,,,,,,,,,
443,357,45,124,,,,,,,,,,,,
444,358,53,112,,,,,,,,,,,,
445,359,52,108,,,,,,,,,,,,
446,360,49,129,,,,,,,,,,,,
447,361,52,102,,,,,,,,,,,,
448,362,53,117,,,,,,,,,,,,
449,363,45,130,,,,,,,,,,,,
450,364,55,102,,,,,,,,,,,,
451,365,53,103,,,,,,,,,,,,
452,366,51,101,,,,,,,,,,,,
453,367,42,115,,,,,,,,,,,,
454,368,55,133,,,,,,,,,,,,
455,369,52,104,,,,,,,,,,,,
456,370,52,132,,,,,,,,,,,,
457,371,41,85,,,,,,,,,,,,
458,372,44,85,,,,,,,,,,,,
459,373,54,122,,,,,,,,,,,,
460,374,36,104,,,,,,,,,,,,
461,375,47,122,,,,,,,,,,,,
462,376,51,107,,,,,,,,,,,,
463,377,40,123,,,,,,,,,,,,
464,378,42,114,,,,,,,,,,,,
465,379,36,120,,,,,,,,,,,,
466,380,39,116,,,,,,,,,,,,
467,381,46,91,,,,,,,,,,,,
468,382,48,87,,,,,,,,,,,,
469,383,40,123,,,,,,,,,,,,
470,384,47,124,,,,,,,,,,,,
471,385,53,130,,,,,,,,,,,,
472,386,51,94,,,,,,,,,,,,
473,387,50,117,,,,,,,,,,,,
474,388,48,115,,,,,,,,,,,,
475,389,35,118,,,,,,,,,,,,
476,390,51,118,,,,,,,,,,,,
477,391,53,103,,,,,,,,,,,,
478,392,53,81,,,,,,,,,,,,
479,393,49,90,,,,,,,,,,,,
480,394,38,109,,,,,,,,,,,,
481,395,42,93,,,,,,,,,,,,
482,396,53,79,,,,,,,,,,,,
483,397,40,82,,,,,,,,,,,,
484,398,44,76,,,,,,,,,,,,
485,399,46,88,,,,,,,,,,,,
486,400,53,81,,,,,,,,,,,,
487,401,39,89,,,,,,,,,,,,
488,402,48,114,,,,,,,,,,,,
489,403,35,102,,,,,,,,,,,,
490,404,51,109,,,,,,,,,,,,
491,405,38,115,,,,,,,,,,,,
492,406,48,97,,,,,,,,,,,,
493,407,55,104,,,,,,,,,,,,
494,408,52,78,,,,,,,,,,,,
495,409,43,107,,,,,,,,,,,,
496,410,45,76,,,,,,,,,,,,
497,411,48,75,,,,,,,,,,,,
498,412,45,108,,,,,,,,,,,,
499,413,35,116,,,,,,,,,,,,
500,414,36,111,,,,,,,,,,,,
501,415,40,110,,,,,,,,,,,,
502,416,37,121,,,,,,,,,,,,
503,417,52,115,,,,,,,,,,,,
504,418,45,112,,,,,,,,,,,,
505,419,52,88,,,,,,,,,,,,
506,420,36,89,,,,,,,,,,,,
507,421,44,110,,,,,,,,,,,,
508,422,43,114,,,,,,,,,,,,
509,423,48,105,,,,,,,,,,,,
510,424,37,122,,,,,,,,,,,,
511,425,41,97,,,,,,,,,,,,
512,426,48,134,,,,,,,,,,,,
513,427,50,127,,,,,,,,,,,,
514,428,44,86,,,,,,,,,,,,
515,429,50,80,,,,,,,,,,,,
516,430,47,94,,,,,,,,,,,,
517,431,43,86,,,,,,,,,,,,
518,432,41,110,,,,,,,,,,,,
519,433,46,126,,,,,,,,,,,,
520,434,46,92,,,,,,,,,,,,
521,435,55,87,,,,,,,,,,,,
522,436,39,85,,,,,,,,,,,,
523,437,44,91,,,,,,,,,,,,
524,438,46,79,,,,,,,,,,,,
525,439,48,125,,,,,,,,,,,,
526,440,53,107,,,,,,,,,,,,
527,441,47,90,,,,,,,,,,,,
528,442,41,128,,,,,,,,,,,,
529,443,55,83,,,,,,,,,,,,
530,444,36,132,,,,,,,,,,,,
531,445,39,94,,,,,,,,,,,,
532,446,53,120,,,,,,,,,,,,
533,447,47,121,,,,,,,,,,,,
534,448,52,90,,,,,,,,,,,,
535,449,40,122,,,,,,,,,,,,
536,450,37,122,,,,,,,,,,,,
537,451,55,124,,,,,,,,,,,,
538,452,52,81,,,,,,,,,,,,
539,453,38,102,,,,,,,,,,,,
540,454,46,100,,,,,,,,,,,,
541,455,41,98,,,,,,,,,,,,
542,456,46,129,,,,,,,,,,,,
543,457,39,79,,,,,,,,,,,,
544,458,50,83,,,,,,,,,,,,
545,459,53,100,,,,,,,,,,,,
546,460,48,99,,,,,,,,,,,,
547,461,51,109,,,,,,,,,,,,
548,462,36,114,,,,,,,,,,,,
549,463,41,102,,,,,,,,,,,,
550,464,47,115,,,,,,,,,,,,
551,465,44,93,,,,,,,,,,,,
552,466,51,125,,,,,,,,,,,,
553,467,50,80,,,,,,,,,,,,
554,468,46,121,,,,,,,,,,,,
555,469,44,87,,,,,,,,,,,,
556,470,50,106,,,,,,,,,,,,
557,471,47,113,,,,,,,,,,,,
558,472,48,125,,,,,,,,,,,,
559,473,50,132,,,,,,,,,,,,
560,474,46,106,,,,,,,,,,,,
561,475,35,116,,,,,,,,,,,,
562,476,42,126,,,,,,,,,,,,
563,477,38,117,,,,,,,,,,,,
564,478,55,99,,,,,,,,,,,,
565,479,50,84,,,,,,,,,,,,
566,480,51,117,,,,,,,,,,,,
567,481,53,127,,,,,,,,,,,,
568,482,55,75,,,,,,,,,,,,
569,483,47,118,,,,,,,,,,,,
570,484,39,80,,,,,,,,,,,,
571,485,46,132,,,,,,,,,,,,
572,486,49,115,,,,,,,,,,,,
573,487,49,81,,,,,,,,,,,,
574,488,52,84,,,,,,,,,,,,
575,489,54,88,,,,,,,,,,,,
576,490,53,97,,,,,,,,,,,,
577,491,53,77,,,,,,,,,,,,
578,492,48,120,,,,,,,,,,,,
579,493,54,131,,,,,,,,,,,,
580,494,49,75,,,,,,,,,,,,
581,495,36,83,,,,,,,,,,,,
582,496,35,91,,,,,,,,,,,,
583,497,44,75,,,,,,,,,,,,
584,498,48,117,,,,,,,,,,,,
585,499,48,114,,,,,,,,,,,,
586,500,40,77,,,,,,,,,,,,
587,501,50,102,,,,,,,,,,,,
588,502,35,80,,,,,,,,,,,,
589,503,55,116,,,,,,,,,,,,
590,504,38,78,,,,,,,,,,,,
591,505,53,125,,,,,,,,,,,,
592,506,45,107,,,,,,,,,,,,
593,507,40,98,,,,,,,,,,,,
594,508,51,124,,,,,,,,,,,,
595,509,39,88,,,,,,,,,,,,
596,510,36,114,,,,,,,,,,,,
597,511,35,86,,,,,,,,,,,,
598,512,35,97,,,,,,,,,,,,
599,513,54,100,,,,,,,,,,,,
600,514,40,116,,,,,,,,,,,,
601,515,44,81,,,,,,,,,,,,
602,516,45,90,,,,,,,,,,,,
603,517,55,126,,,,,,,,,,,,
604,518,48,101,,,,,,,,,,,,
605,519,35,107,,,,,,,,,,,,
606,520,51,88,,,,,,,,,,,,
607,521,51,112,,,,,,,,,,,,
608,522,37,90,,,,,,,,,,,,
609,523,48,103,,,,,,,,,,,,
610,524,35,77,,,,,,,,,,,,
611,525,39,123,,,,,,,,,,,,
612,526,45,100,,,,,,,,,,,,
613,527,47,110,,,,,,,,,,,,
614,528,35,108,,,,,,,,,,,,
615,529,44,112,,,,,,,,,,,,
616,530,38,108,,,,,,,,,,,,
617,531,44,103,,,,,,,,,,,,
618,532,47,122,,,,,,,,,,,,
619,533,41,88,,,,,,,,,,,,
620,534,47,100,,,,,,,,,,,,
621,535,51,96,,,,,,,,,,,,
622,536,51,116,,,,,,,,,,,,
623,537,44,125,,,,,,,,,,,,
624,538,53,99,,,,,,,,,,,,
625,539,36,119,,,,,,,,,,,,
626,540,50,102,,,,,,,,,,,,
627,541,43,88,,,,,,,,,,,,
628,542,44,114,,,,,,,,,,,,
629,543,48,80,,,,,,,,,,,,
630,544,49,96,,,,,,,,,,,,
631,545,52,78,,,,,,,,,,,,
632,546,55,100,,,,,,,,,,,,
633,547,43,88,,,,,,,,,,,,
634,548,51,93,,,,,,,,,,,,
635,549,35,94,,,,,,,,,,,,
636,550,54,100,,,,,,,,,,,,
637,551,54,110,,,,,,,,,,,,
638,552,40,126,,,,,,,,,,,,
639,553,35,122,,,,,,,,,,,,
640,554,55,119,,,,,,,,,,,,
641,555,50,110,,,,,,,,,,,,
642,556,44,117,,,,,,,,,,,,
643,557,54,117,,,,,,,,,,,,
644,558,37,88,,,,,,,,,,,,
645,559,35,131,,,,,,,,,,,,
646,560,38,89,,,,,,,,,,,,
647,561,46,87,,,,,,,,,,,,
648,562,46,117,,,,,,,,,,,,
649,563,42,97,,,,,,,,,,,,
650,564,41,88,,,,,,,,,,,,
651,565,36,109,,,,,,,,,,,,
652,566,42,121,,,,,,,,,,,,
653,567,52,92,,,,,,,,,,,,
654,568,46,124,,,,,,,,,,,,
655,569,55,111,,,,,,,,,,,,
656,570,48,125,,,,,,,,,,,,
657,571,37,131,,,,,,,,,,,,
658,572,48,90,,,,,,,,,,,,
659,573,47,92,,,,,,,,,,,,
660,574,45,115,,,,,,,,,,,,
661,575,36,108,,,,,,,,,,,,
662,576,41,80,,,,,,,,,,,,
663,577,38,117,,,,,,,,,,,,
664,578,53,116,,,,,,,,,,,,
665,579,35,107,,,,,,,,,,,,
666,580,45,114,,,,,,,,,,,,
667,581,44,119,,,,,,,,,,,,
668,582,49,83,,,,,,,,,,,,
669,583,39,117,,,,,,,,,,,,
670,584,53,112,,,,,,,,,,,,
671,585,38,93,,,,,,,,,,,,
