,n,15,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
47,3,17,1,,,,,,1.0,1.0,,,,,,,,,,
48,3,17,2,,,,,,,,,1.0,1.0,,,,,,,
49,3,17,3,,,,,,,,,,,2.0,,,,,,
50,4,18,1,,,,,,,,,,,,,,6.0,,,
51,4,18,2,,,,,,,,,,,,4.0,4.0,,,,
52,4,19,1,,,,,,,,,,,,3.0,3.0,,,,
53,4,19,2,,,,,,,,,6.0,6.0,,,,,,,
54,4,19,3,,,,,,,,,,,,,,2.0,,,
55,4,20,1,,,,,,,,,,,,,,,5.0,,
56,4,20,2,,,,,,,,,,,,,,8.0,,,
57,4,20,3,,,,,,,,,,,,,,,,7.0,
58,4,21,1,,,,,,,,,,,,,,,,3.0,
59,4,21,2,,,,,,,,,,,,4.0,4.0,,,,
60,4,21,3,,,,,,,,,,,,,,,5.0,,
61,,,,,,,,,,,,,,,,,,,,
62,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,
63,1,1,0,,,,,,,,,,,,,,,,,
64,1,2,3,,,,,,,,,,,,,,,,,
65,1,3,7,,,,,,,,,,,,,,,,,
66,1,4,4,,,,,,,,,,,,,,,,,
67,2,1,4,,,,,,,,,,,,,,,,,
68,2,2,0,,,,,,,,,,,,,,,,,
69,2,3,4,,,,,,,,,,,,,,,,,
70,2,4,2,,,,,,,,,,,,,,,,,
71,3,1,6,,,,,,,,,,,,,,,,,
72,3,2,5,,,,,,,,,,,,,,,,,
73,3,3,0,,,,,,,,,,,,,,,,,
74,3,4,5,,,,,,,,,,,,,,,,,
75,4,1,7,,,,,,,,,,,,,,,,,
76,4,2,5,,,,,,,,,,,,,,,,,
77,4,3,2,,,,,,,,,,,,,,,,,
78,4,4,0,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,
80,Cell,Cell,Transportation Time,,,,,,,,,,,,,,,,,
81,1,1,0,,,,,,,,,,,,,,,,,
82,1,2,3,,,,,,,,,,,,,,,,,
83,1,3,5,,,,,,,,,,,,,,,,,
84,1,4,4,,,,,,,,,,,,,,,,,
85,2,1,4,,,,,,,,,,,,,,,,,
86,2,2,0,,,,,,,,,,,,,,,,,
87,2,3,8,,,,,,,,,,,,,,,,,
88,2,4,5,,,,,,,,,,,,,,,,,
89,3,1,6,,,,,,,,,,,,,,,,,
90,3,2,5,,,,,,,,,,,,,,,,,
91,3,3,0,,,,,,,,,,,,,,,,,
92,3,4,3,,,,,,,,,,,,,,,,,
93,4,1,5,,,,,,,,,,,,,,,,,
94,4,2,4,,,,,,,,,,,,,,,,,
95,4,3,3,,,,,,,,,,,,,,,,,
96,4,4,0,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,
98,Job,Due Date,,,,,,,,,,,,,,,,,,
99,1,98,,,,,,,,,,,,,,,,,,
100,2,77,,,,,,,,,,,,,,,,,,
101,5,48,,,,,,,,,,,,,,,,,,
102,7,5,,,,,,,,,,,,,,,,,,
103,6,2,,,,,,,,,,,,,,,,,,
104,3,75,,,,,,,,,,,,,,,,,,
105,11,53,,,,,,,,,,,,,,,,,,
106,12,21,,,,,,,,,,,,,,,,,,
107,15,103,,,,,,,,,,,,,,,,,,
108,16,4,,,,,,,,,,,,,,,,,,
109,17,13,,,,,,,,,,,,,,,,,,
110,18,67,,,,,,,,,,,,,,,,,,
111,19,15,,,,,,,,,,,,,,,,,,
112,20,28,,,,,,,,,,,,,,,,,,
113,21,43,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,
115,No,Reference_point1,Reference_point2,,,,,,,,,,,,,,,,,
116,1,44,70,,,,,,,,,,,,,,,,,
117,2,57,114,,,,,,,,,,,,,,,,,
118,3,67,91,,,,,,,,,,,,,,,,,
119,4,50,126,,,,,,,,,,,,,,,,,
120,5,36,106,,,,,,,,,,,,,,,,,
121,6,32,79,,,,,,,,,,,,,,,,,
122,7,48,129,,,,,,,,,,,,,,,,,
123,8,69,106,,,,,,,,,,,,,,,,,
124,9,46,104,,,,,,,,,,,,,,,,,
125,10,70,110,,,,,,,,,,,,,,,,,
126,11,84,69,,,,,,,,,,,,,,,,,
127,12,40,88,,,,,,,,,,,,,,,,,
128,13,75,74,,,,,,,,,,,,,,,,,
129,14,75,83,,,,,,,,,,,,,,,,,
130,15,77,122,,,,,,,,,,,,,,,,,
131,16,62,111,,,,,,,,,,,,,,,,,
132,17,70,63,,,,,,,,,,,,,,,,,
133,18,86,117,,,,,,,,,,,,,,,,,
134,19,79,67,,,,,,,,,,,,,,,,,
135,20,59,98,,,,,,,,,,,,,,,,,
136,21,46,129,,,,,,,,,,,,,,,,,
137,22,69,88,,,,,,,,,,,,,,,,,
138,23,55,108,,,,,,,,,,,,,,,,,
139,24,68,94,,,,,,,,,,,,,,,,,
140,25,44,86,,,,,,,,,,,,,,,,,
141,26,60,74,,,,,,,,,,,,,,,,,
142,27,50,109,,,,,,,,,,,,,,,,,
143,28,53,73,,,,,,,,,,,,,,,,,
144,29,84,68,,,,,,,,,,,,,,,,,
145,30,85,95,,,,,,,,,,,,,,,,,
146,31,66,66,,,,,,,,,,,,,,,,,
147,32,37,77,,,,,,,,,,,,,,,,,
148,33,35,83,,,,,,,,,,,,,,,,,
149,34,61,83,,,,,,,,,,,,,,,,,
150,35,86,121,,,,,,,,,,,,,,,,,
151,36,75,77,,,,,,,,,,,,,,,,,
152,37,36,74,,,,,,,,,,,,,,,,,
153,38,55,127,,,,,,,,,,,,,,,,,
154,39,53,114,,,,,,,,,,,,,,,,,
155,40,84,71,,,,,,,,,,,,,,,,,
156,41,58,84,,,,,,,,,,,,,,,,,
157,42,34,94,,,,,,,,,,,,,,,,,
158,43,51,88,,,,,,,,,,,,,,,,,
159,44,51,63,,,,,,,,,,,,,,,,,
160,45,65,119,,,,,,,,,,,,,,,,,
161,46,78,114,,,,,,,,,,,,,,,,,
162,47,35,64,,,,,,,,,,,,,,,,,
163,48,80,78,,,,,,,,,,,,,,,,,
164,49,79,94,,,,,,,,,,,,,,,,,
165,50,47,71,,,,,,,,,,,,,,,,,
166,51,38,87,,,,,,,,,,,,,,,,,
167,52,57,87,,,,,,,,,,,,,,,,,
168,53,62,83,,,,,,,,,,,,,,,,,
169,54,34,74,,,,,,,,,,,,,,,,,
170,55,45,92,,,,,,,,,,,,,,,,,
171,56,73,74,,,,,,,,,,,,,,,,,
172,57,38,120,,,,,,,,,,,,,,,,,
173,58,86,84,,,,,,,,,,,,,,,,,
174,59,86,106,,,,,,,,,,,,,,,,,
175,60,78,109,,,,,,,,,,,,,,,,,
176,61,83,99,,,,,,,,,,,,,,,,,
177,62,69,73,,,,,,,,,,,,,,,,,
178,63,32,64,,,,,,,,,,,,,,,,,
179,64,38,67,,,,,,,,,,,,,,,,,
180,65,47,76,,,,,,,,,,,,,,,,,
181,66,35,125,,,,,,,,,,,,,,,,,
182,67,57,118,,,,,,,,,,,,,,,,,
183,68,86,71,,,,,,,,,,,,,,,,,
184,69,78,109,,,,,,,,,,,,,,,,,
185,70,82,66,,,,,,,,,,,,,,,,,
186,71,48,76,,,,,,,,,,,,,,,,,
187,72,72,75,,,,,,,,,,,,,,,,,
188,73,35,108,,,,,,,,,,,,,,,,,
189,74,66,78,,,,,,,,,,,,,,,,,
190,75,32,101,,,,,,,,,,,,,,,,,
191,76,44,77,,,,,,,,,,,,,,,,,
192,77,65,103,,,,,,,,,,,,,,,,,
193,78,41,102,,,,,,,,,,,,,,,,,
194,79,69,84,,,,,,,,,,,,,,,,,
195,80,50,98,,,,,,,,,,,,,,,,,
196,81,40,129,,,,,,,,,,,,,,,,,
197,82,79,67,,,,,,,,,,,,,,,,,
198,83,50,118,,,,,,,,,,,,,,,,,
199,84,70,83,,,,,,,,,,,,,,,,,
200,85,78,121,,,,,,,,,,,,,,,,,
201,86,57,82,,,,,,,,,,,,,,,,,
202,87,72,116,,,,,,,,,,,,,,,,,
203,88,52,112,,,,,,,,,,,,,,,,,
204,89,75,97,,,,,,,,,,,,,,,,,
205,90,35,85,,,,,,,,,,,,,,,,,
206,91,52,122,,,,,,,,,,,,,,,,,
207,92,33,111,,,,,,,,,,,,,,,,,
208,93,84,120,,,,,,,,,,,,,,,,,
209,94,48,121,,,,,,,,,,,,,,,,,
210,95,67,90,,,,,,,,,,,,,,,,,
211,96,55,98,,,,,,,,,,,,,,,,,
212,97,50,88,,,,,,,,,,,,,,,,,
213,98,80,84,,,,,,,,,,,,,,,,,
214,99,49,108,,,,,,,,,,,,,,,,,
215,100,77,80,,,,,,,,,,,,,,,,,
216,101,85,84,,,,,,,,,,,,,,,,,
217,102,52,73,,,,,,,,,,,,,,,,,
218,103,36,126,,,,,,,,,,,,,,,,,
219,104,58,118,,,,,,,,,,,,,,,,,
220,105,43,92,,,,,,,,,,,,,,,,,
221,106,75,74,,,,,,,,,,,,,,,,,
222,107,44,63,,,,,,,,,,,,,,,,,
223,108,39,81,,,,,,,,,,,,,,,,,
224,109,84,73,,,,,,,,,,,,,,,,,
225,110,36,96,,,,,,,,,,,,,,,,,
226,111,60,118,,,,,,,,,,,,,,,,,
227,112,68,92,,,,,,,,,,,,,,,,,
228,113,55,125,,,,,,,,,,,,,,,,,
229,114,83,87,,,,,,,,,,,,,,,,,
230,115,82,66,,,,,,,,,,,,,,,,,
231,116,54,70,,,,,,,,,,,,,,,,,
232,117,69,118,,,,,,,,,,,,,,,,,
233,118,51,67,,,,,,,,,,,,,,,,,
234,119,59,122,,,,,,,,,,,,,,,,,
235,120,66,63,,,,,,,,,,,,,,,,,
236,121,52,95,,,,,,,,,,,,,,,,,
237,122,67,76,,,,,,,,,,,,,,,,,
238,123,65,80,,,,,,,,,,,,,,,,,
239,124,47,85,,,,,,,,,,,,,,,,,
240,125,43,103,,,,,,,,,,,,,,,,,
241,126,51,74,,,,,,,,,,,,,,,,,
242,127,63,85,,,,,,,,,,,,,,,,,
243,128,72,73,,,,,,,,,,,,,,,,,
244,129,67,125,,,,,,,,,,,,,,,,,
245,130,71,73,,,,,,,,,,,,,,,,,
246,131,31,71,,,,,,,,,,,,,,,,,
247,132,81,73,,,,,,,,,,,,,,,,,
248,133,32,108,,,,,,,,,,,,,,,,,
249,134,58,90,,,,,,,,,,,,,,,,,
250,135,67,68,,,,,,,,,,,,,,,,,
251,136,74,67,,,,,,,,,,,,,,,,,
252,137,60,68,,,,,,,,,,,,,,,,,
253,138,37,65,,,,,,,,,,,,,,,,,
254,139,40,94,,,,,,,,,,,,,,,,,
255,140,77,74,,,,,,,,,,,,,,,,,
256,141,67,103,,,,,,,,,,,,,,,,,
257,142,38,84,,,,,,,,,,,,,,,,,
258,143,69,78,,,,,,,,,,,,,,,,,
259,144,60,86,,,,,,,,,,,,,,,,,
260,145,35,77,,,,,,,,,,,,,,,,,
261,146,53,101,,,,,,,,,,,,,,,,,
262,147,40,94,,,,,,,,,,,,,,,,,
263,148,31,80,,,,,,,,,,,,,,,,,
264,149,63,95,,,,,,,,,,,,,,,,,
265,150,40,126,,,,,,,,,,,,,,,,,
266,151,74,122,,,,,,,,,,,,,,,,,
267,152,69,72,,,,,,,,,,,,,,,,,
268,153,77,84,,,,,,,,,,,,,,,,,
269,154,67,96,,,,,,,,,,,,,,,,,
270,155,42,109,,,,,,,,,,,,,,,,,
271,156,85,75,,,,,,,,,,,,,,,,,
272,157,37,99,,,,,,,,,,,,,,,,,
273,158,59,89,,,,,,,,,,,,,,,,,
274,159,86,101,,,,,,,,,,,,,,,,,
275,160,58,116,,,,,,,,,,,,,,,,,
276,161,39,71,,,,,,,,,,,,,,,,,
277,162,49,92,,,,,,,,,,,,,,,,,
278,163,69,76,,,,,,,,,,,,,,,,,
279,164,80,66,,,,,,,,,,,,,,,,,
280,165,35,120,,,,,,,,,,,,,,,,,
281,166,56,109,,,,,,,,,,,,,,,,,
282,167,47,122,,,,,,,,,,,,,,,,,
283,168,53,114,,,,,,,,,,,,,,,,,
284,169,83,129,,,,,,,,,,,,,,,,,
285,170,58,87,,,,,,,,,,,,,,,,,
286,171,63,64,,,,,,,,,,,,,,,,,
287,172,39,89,,,,,,,,,,,,,,,,,
288,173,44,77,,,,,,,,,,,,,,,,,
289,174,56,104,,,,,,,,,,,,,,,,,
290,175,84,103,,,,,,,,,,,,,,,,,
291,176,46,63,,,,,,,,,,,,,,,,,
292,177,31,88,,,,,,,,,,,,,,,,,
293,178,75,106,,,,,,,,,,,,,,,,,
294,179,62,79,,,,,,,,,,,,,,,,,
295,180,56,105,,,,,,,,,,,,,,,,,
296,181,54,103,,,,,,,,,,,,,,,,,
297,182,54,86,,,,,,,,,,,,,,,,,
298,183,44,82,,,,,,,,,,,,,,,,,
299,184,81,78,,,,,,,,,,,,,,,,,
300,185,39,113,,,,,,,,,,,,,,,,,
301,186,57,129,,,,,,,,,,,,,,,,,
302,187,35,70,,,,,,,,,,,,,,,,,
303,188,43,71,,,,,,,,,,,,,,,,,
304,189,86,125,,,,,,,,,,,,,,,,,
305,190,42,94,,,,,,,,,,,,,,,,,
306,191,72,81,,,,,,,,,,,,,,,,,
307,192,35,94,,,,,,,,,,,,,,,,,
308,193,63,93,,,,,,,,,,,,,,,,,
309,194,69,124,,,,,,,,,,,,,,,,,
310,195,36,113,,,,,,,,,,,,,,,,,
311,196,42,109,,,,,,,,,,,,,,,,,
312,197,60,120,,,,,,,,,,,,,,,,,
313,198,83,128,,,,,,,,,,,,,,,,,
314,199,65,115,,,,,,,,,,,,,,,,,
315,200,39,126,,,,,,,,,,,,,,,,,
316,201,48,78,,,,,,,,,,,,,,,,,
317,202,57,77,,,,,,,,,,,,,,,,,
318,203,39,81,,,,,,,,,,,,,,,,,
319,204,82,122,,,,,,,,,,,,,,,,,
320,205,39,107,,,,,,,,,,,,,,,,,
321,206,67,104,,,,,,,,,,,,,,,,,
322,207,32,129,,,,,,,,,,,,,,,,,
323,208,81,73,,,,,,,,,,,,,,,,,
324,209,59,125,,,,,,,,,,,,,,,,,
325,210,73,115,,,,,,,,,,,,,,,,,
326,211,64,129,,,,,,,,,,,,,,,,,
327,212,38,89,,,,,,,,,,,,,,,,,
328,213,61,114,,,,,,,,,,,,,,,,,
329,214,57,77,,,,,,,,,,,,,,,,,
330,215,40,79,,,,,,,,,,,,,,,,,
331,216,59,76,,,,,,,,,,,,,,,,,
332,217,74,80,,,,,,,,,,,,,,,,,
333,218,39,97,,,,,,,,,,,,,,,,,
334,219,75,121,,,,,,,,,,,,,,,,,
335,220,49,84,,,,,,,,,,,,,,,,,
336,221,60,116,,,,,,,,,,,,,,,,,
337,222,73,91,,,,,,,,,,,,,,,,,
338,223,36,102,,,,,,,,,,,,,,,,,
339,224,67,99,,,,,,,,,,,,,,,,,
340,225,85,116,,,,,,,,,,,,,,,,,
341,226,56,108,,,,,,,,,,,,,,,,,
342,227,32,88,,,,,,,,,,,,,,,,,
343,228,50,84,,,,,,,,,,,,,,,,,
344,229,35,67,,,,,,,,,,,,,,,,,
345,230,68,87,,,,,,,,,,,,,,,,,
346,231,76,109,,,,,,,,,,,,,,,,,
347,232,71,124,,,,,,,,,,,,,,,,,
348,233,39,93,,,,,,,,,,,,,,,,,
349,234,78,115,,,,,,,,,,,,,,,,,
350,235,78,88,,,,,,,,,,,,,,,,,
351,236,50,105,,,,,,,,,,,,,,,,,
352,237,64,93,,,,,,,,,,,,,,,,,
353,238,44,117,,,,,,,,,,,,,,,,,
354,239,43,110,,,,,,,,,,,,,,,,,
355,240,47,126,,,,,,,,,,,,,,,,,
356,241,37,125,,,,,,,,,,,,,,,,,
357,242,45,88,,,,,,,,,,,,,,,,,
358,243,75,118,,,,,,,,,,,,,,,,,
359,244,40,90,,,,,,,,,,,,,,,,,
360,245,81,118,,,,,,,,,,,,,,,,,
361,246,54,111,,,,,,,,,,,,,,,,,
362,247,42,127,,,,,,,,,,,,,,,,,
363,248,59,119,,,,,,,,,,,,,,,,,
364,249,34,119,,,,,,,,,,,,,,,,,
365,250,46,105,,,,,,,,,,,,,,,,,
366,251,72,122,,,,,,,,,,,,,,,,,
367,252,70,101,,,,,,,,,,,,,,,,,
368,253,55,117,,,,,,,,,,,,,,,,,
369,254,35,101,,,,,,,,,,,,,,,,,
370,255,37,98,,,,,,,,,,,,,,,,,
371,256,36,88,,,,,,,,,,,,,,,,,
372,257,74,110,,,,,,,,,,,,,,,,,
373,258,45,122,,,,,,,,,,,,,,,,,
374,259,55,85,,,,,,,,,,,,,,,,,
375,260,37,84,,,,,,,,,,,,,,,,,
376,261,47,92,,,,,,,,,,,,,,,,,
377,262,79,63,,,,,,,,,,,,,,,,,
378,263,84,105,,,,,,,,,,,,,,,,,
379,264,54,105,,,,,,,,,,,,,,,,,
380,265,84,90,,,,,,,,,,,,,,,,,
381,266,72,89,,,,,,,,,,,,,,,,,
382,267,55,107,,,,,,,,,,,,,,,,,
383,268,42,78,,,,,,,,,,,,,,,,,
384,269,43,108,,,,,,,,,,,,,,,,,
385,270,83,128,,,,,,,,,,,,,,,,,
386,271,73,103,,,,,,,,,,,,,,,,,
387,272,46,87,,,,,,,,,,,,,,,,,
388,273,71,66,,,,,,,,,,,,,,,,,
389,274,84,96,,,,,,,,,,,,,,,,,
390,275,70,104,,,,,,,,,,,,,,,,,
391,276,53,111,,,,,,,,,,,,,,,,,
392,277,71,127,,,,,,,,,,,,,,,,,
393,278,50,83,,,,,,,,,,,,,,,,,
394,279,31,108,,,,,,,,,,,,,,,,,
395,280,65,116,,,,,,,,,,,,,,,,,
396,281,52,92,,,,,,,,,,,,,,,,,
397,282,65,110,,,,,,,,,,,,,,,,,
398,283,75,110,,,,,,,,,,,,,,,,,
399,284,83,69,,,,,,,,,,,,,,,,,
400,285,59,64,,,,,,,,,,,,,,,,,
401,286,67,113,,,,,,,,,,,,,,,,,
402,287,53,73,,,,,,,,,,,,,,,,,
403,288,62,109,,,,,,,,,,,,,,,,,
404,289,39,96,,,,,,,,,,,,,,,,,
405,290,46,124,,,,,,,,,,,,,,,,,
406,291,69,125,,,,,,,,,,,,,,,,,
407,292,82,84,,,,,,,,,,,,,,,,,
408,293,31,63,,,,,,,,,,,,,,,,,
409,294,68,94,,,,,,,,,,,,,,,,,
410,295,49,123,,,,,,,,,,,,,,,,,
411,296,43,99,,,,,,,,,,,,,,,,,
412,297,34,72,,,,,,,,,,,,,,,,,
413,298,63,83,,,,,,,,,,,,,,,,,
414,299,85,101,,,,,,,,,,,,,,,,,
415,300,63,64,,,,,,,,,,,,,,,,,
416,301,36,119,,,,,,,,,,,,,,,,,
417,302,86,109,,,,,,,,,,,,,,,,,
418,303,85,105,,,,,,,,,,,,,,,,,
419,304,49,100,,,,,,,,,,,,,,,,,
420,305,52,106,,,,,,,,,,,,,,,,,
421,306,39,97,,,,,,,,,,,,,,,,,
422,307,53,109,,,,,,,,,,,,,,,,,
423,308,37,93,,,,,,,,,,,,,,,,,
424,309,59,82,,,,,,,,,,,,,,,,,
425,310,70,115,,,,,,,,,,,,,,,,,
426,311,32,94,,,,,,,,,,,,,,,,,
427,312,74,104,,,,,,,,,,,,,,,,,
428,313,75,70,,,,,,,,,,,,,,,,,
429,314,69,80,,,,,,,,,,,,,,,,,
430,315,62,80,,,,,,,,,,,,,,,,,
431,316,70,102,,,,,,,,,,,,,,,,,
432,317,82,80,,,,,,,,,,,,,,,,,
433,318,76,118,,,,,,,,,,,,,,,,,
434,319,84,78,,,,,,,,,,,,,,,,,
435,320,50,87,,,,,,,,,,,,,,,,,
436,321,69,70,,,,,,,,,,,,,,,,,
437,322,35,107,,,,,,,,,,,,,,,,,
438,323,72,110,,,,,,,,,,,,,,,,,
439,324,38,87,,,,,,,,,,,,,,,,,
440,325,32,71,,,,,,,,,,,,,,,,,
441,326,75,108,,,,,,,,,,,,,,,,,
442,327,79,115,,,,,,,,,,,,,,,,,
443,328,31,105,,,,,,,,,,,,,,,,,
444,329,35,87,,,,,,,,,,,,,,,,,
445,330,81,121,,,,,,,,,,,,,,,,,
446,331,84,67,,,,,,,,,,,,,,,,,
447,332,86,71,,,,,,,,,,,,,,,,,
448,333,83,100,,,,,,,,,,,,,,,,,
449,334,64,73,,,,,,,,,,,,,,,,,
450,335,80,82,,,,,,,,,,,,,,,,,
451,336,59,82,,,,,,,,,,,,,,,,,
452,337,84,84,,,,,,,,,,,,,,,,,
453,338,36,124,,,,,,,,,,,,,,,,,
454,339,52,70,,,,,,,,,,,,,,,,,
455,340,79,68,,,,,,,,,,,,,,,,,
456,341,85,84,,,,,,,,,,,,,,,,,
457,342,44,92,,,,,,,,,,,,,,,,,
458,343,57,64,,,,,,,,,,,,,,,,,
459,344,71,71,,,,,,,,,,,,,,,,,
460,345,45,74,,,,,,,,,,,,,,,,,
461,346,73,101,,,,,,,,,,,,,,,,,
462,347,48,95,,,,,,,,,,,,,,,,,
463,348,54,104,,,,,,,,,,,,,,,,,
464,349,37,126,,,,,,,,,,,,,,,,,
465,350,71,75,,,,,,,,,,,,,,,,,
466,351,37,129,,,,,,,,,,,,,,,,,
467,352,57,112,,,,,,,,,,,,,,,,,
468,353,65,96,,,,,,,,,,,,,,,,,
469,354,72,99,,,,,,,,,,,,,,,,,
470,355,69,68,,,,,,,,,,,,,,,,,
471,356,45,127,,,,,,,,,,,,,,,,,
472,357,59,118,,,,,,,,,,,,,,,,,
473,358,81,104,,,,,,,,,,,,,,,,,
474,359,77,100,,,,,,,,,,,,,,,,,
475,360,68,124,,,,,,,,,,,,,,,,,
476,361,78,93,,,,,,,,,,,,,,,,,
477,362,81,110,,,,,,,,,,,,,,,,,
478,363,60,125,,,,,,,,,,,,,,,,,
479,364,85,93,,,,,,,,,,,,,,,,,
480,365,81,95,,,,,,,,,,,,,,,,,
481,366,76,92,,,,,,,,,,,,,,,,,
482,367,52,108,,,,,,,,,,,,,,,,,
483,368,85,128,,,,,,,,,,,,,,,,,
484,369,78,96,,,,,,,,,,,,,,,,,
485,370,76,127,,,,,,,,,,,,,,,,,
486,371,47,74,,,,,,,,,,,,,,,,,
487,372,55,74,,,,,,,,,,,,,,,,,
488,373,82,116,,,,,,,,,,,,,,,,,
489,374,34,96,,,,,,,,,,,,,,,,,
490,375,63,116,,,,,,,,,,,,,,,,,
491,376,75,99,,,,,,,,,,,,,,,,,
492,377,46,117,,,,,,,,,,,,,,,,,
493,378,50,107,,,,,,,,,,,,,,,,,
494,379,36,114,,,,,,,,,,,,,,,,,
495,380,43,109,,,,,,,,,,,,,,,,,
496,381,60,81,,,,,,,,,,,,,,,,,
497,382,66,77,,,,,,,,,,,,,,,,,
498,383,46,117,,,,,,,,,,,,,,,,,
499,384,63,118,,,,,,,,,,,,,,,,,
500,385,79,125,,,,,,,,,,,,,,,,,
501,386,74,85,,,,,,,,,,,,,,,,,
502,387,72,110,,,,,,,,,,,,,,,,,
503,388,65,107,,,,,,,,,,,,,,,,,
504,389,31,111,,,,,,,,,,,,,,,,,
505,390,75,111,,,,,,,,,,,,,,,,,
506,391,79,94,,,,,,,,,,,,,,,,,
507,392,80,70,,,,,,,,,,,,,,,,,
508,393,69,80,,,,,,,,,,,,,,,,,
509,394,39,101,,,,,,,,,,,,,,,,,
510,395,49,83,,,,,,,,,,,,,,,,,
511,396,80,68,,,,,,,,,,,,,,,,,
512,397,46,71,,,,,,,,,,,,,,,,,
513,398,55,64,,,,,,,,,,,,,,,,,
514,399,60,78,,,,,,,,,,,,,,,,,
515,400,80,70,,,,,,,,,,,,,,,,,
516,401,42,79,,,,,,,,,,,,,,,,,
517,402,66,107,,,,,,,,,,,,,,,,,
518,403,32,93,,,,,,,,,,,,,,,,,
519,404,76,101,,,,,,,,,,,,,,,,,
520,405,41,108,,,,,,,,,,,,,,,,,
521,406,67,87,,,,,,,,,,,,,,,,,
522,407,85,95,,,,,,,,,,,,,,,,,
523,408,77,66,,,,,,,,,,,,,,,,,
524,409,53,98,,,,,,,,,,,,,,,,,
525,410,60,64,,,,,,,,,,,,,,,,,
526,411,67,63,,,,,,,,,,,,,,,,,
527,412,58,99,,,,,,,,,,,,,,,,,
528,413,33,109,,,,,,,,,,,,,,,,,
529,414,33,104,,,,,,,,,,,,,,,,,
530,415,46,102,,,,,,,,,,,,,,,,,
