,n,14,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
54,4,18,2,,,,,,,,,,,,4.0,,
55,4,19,1,,,,,,,,,,,,3.0,,
56,4,19,2,,,,,,,,,6.0,6.0,,,,
57,4,19,3,,,,,,,,,,,,,2.0,
58,,,,,,,,,,,,,,,,,
59,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,
60,1,1,0,,,,,,,,,,,,,,
61,1,2,3,,,,,,,,,,,,,,
62,1,3,7,,,,,,,,,,,,,,
63,1,4,4,,,,,,,,,,,,,,
64,2,1,4,,,,,,,,,,,,,,
65,2,2,0,,,,,,,,,,,,,,
66,2,3,4,,,,,,,,,,,,,,
67,2,4,2,,,,,,,,,,,,,,
68,3,1,6,,,,,,,,,,,,,,
69,3,2,5,,,,,,,,,,,,,,
70,3,3,0,,,,,,,,,,,,,,
71,3,4,5,,,,,,,,,,,,,,
72,4,1,7,,,,,,,,,,,,,,
73,4,2,5,,,,,,,,,,,,,,
74,4,3,2,,,,,,,,,,,,,,
75,4,4,0,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,
77,Cell,Cell,Transportation Time,,,,,,,,,,,,,,
78,1,1,0,,,,,,,,,,,,,,
79,1,2,3,,,,,,,,,,,,,,
80,1,3,5,,,,,,,,,,,,,,
81,1,4,4,,,,,,,,,,,,,,
82,2,1,4,,,,,,,,,,,,,,
83,2,2,0,,,,,,,,,,,,,,
84,2,3,8,,,,,,,,,,,,,,
85,2,4,5,,,,,,,,,,,,,,
86,3,1,6,,,,,,,,,,,,,,
87,3,2,5,,,,,,,,,,,,,,
88,3,3,0,,,,,,,,,,,,,,
89,3,4,3,,,,,,,,,,,,,,
90,4,1,5,,,,,,,,,,,,,,
91,4,2,4,,,,,,,,,,,,,,
92,4,3,3,,,,,,,,,,,,,,
93,4,4,0,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,
95,Job,Due Date,,,,,,,,,,,,,,,
96,1,98,,,,,,,,,,,,,,,
97,5,48,,,,,,,,,,,,,,,
98,7,5,,,,,,,,,,,,,,,
99,9,50,,,,,,,,,,,,,,,
100,6,2,,,,,,,,,,,,,,,
101,3,75,,,,,,,,,,,,,,,
102,10,8,,,,,,,,,,,,,,,
103,11,53,,,,,,,,,,,,,,,
104,12,21,,,,,,,,,,,,,,,
105,15,103,,,,,,,,,,,,,,,
106,16,4,,,,,,,,,,,,,,,
107,17,13,,,,,,,,,,,,,,,
108,18,67,,,,,,,,,,,,,,,
109,19,15,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,
111,No,Reference_point1,Reference_point2,,,,,,,,,,,,,,
112,1,45,96,,,,,,,,,,,,,,
113,2,55,168,,,,,,,,,,,,,,
114,3,63,131,,,,,,,,,,,,,,
115,4,50,186,,,,,,,,,,,,,,
116,5,39,154,,,,,,,,,,,,,,
117,6,36,111,,,,,,,,,,,,,,
118,7,48,191,,,,,,,,,,,,,,
119,8,64,155,,,,,,,,,,,,,,
120,9,47,151,,,,,,,,,,,,,,
121,10,65,160,,,,,,,,,,,,,,
122,11,75,94,,,,,,,,,,,,,,
123,12,41,125,,,,,,,,,,,,,,
124,13,69,102,,,,,,,,,,,,,,
125,14,69,117,,,,,,,,,,,,,,
126,15,70,180,,,,,,,,,,,,,,
127,16,58,162,,,,,,,,,,,,,,
128,17,65,85,,,,,,,,,,,,,,
129,18,77,171,,,,,,,,,,,,,,
130,19,71,90,,,,,,,,,,,,,,
131,20,57,141,,,,,,,,,,,,,,
132,21,46,192,,,,,,,,,,,,,,
133,22,64,126,,,,,,,,,,,,,,
134,23,53,157,,,,,,,,,,,,,,
135,24,64,135,,,,,,,,,,,,,,
136,25,45,122,,,,,,,,,,,,,,
137,26,57,102,,,,,,,,,,,,,,
138,27,49,159,,,,,,,,,,,,,,
139,28,51,100,,,,,,,,,,,,,,
140,29,75,93,,,,,,,,,,,,,,
141,30,76,137,,,,,,,,,,,,,,
142,31,62,89,,,,,,,,,,,,,,
143,32,40,107,,,,,,,,,,,,,,
144,33,38,117,,,,,,,,,,,,,,
145,34,58,117,,,,,,,,,,,,,,
146,35,77,179,,,,,,,,,,,,,,
147,36,69,108,,,,,,,,,,,,,,
148,37,39,103,,,,,,,,,,,,,,
149,38,53,188,,,,,,,,,,,,,,
150,39,52,168,,,,,,,,,,,,,,
151,40,75,97,,,,,,,,,,,,,,
152,41,56,118,,,,,,,,,,,,,,
153,42,37,135,,,,,,,,,,,,,,
154,43,50,126,,,,,,,,,,,,,,
155,44,50,84,,,,,,,,,,,,,,
156,45,61,175,,,,,,,,,,,,,,
157,46,71,168,,,,,,,,,,,,,,
158,47,38,86,,,,,,,,,,,,,,
159,48,73,108,,,,,,,,,,,,,,
160,49,72,135,,,,,,,,,,,,,,
161,50,47,97,,,,,,,,,,,,,,
162,51,40,124,,,,,,,,,,,,,,
163,52,55,124,,,,,,,,,,,,,,
164,53,58,117,,,,,,,,,,,,,,
165,54,37,102,,,,,,,,,,,,,,
166,55,46,131,,,,,,,,,,,,,,
167,56,67,103,,,,,,,,,,,,,,
168,57,40,176,,,,,,,,,,,,,,
169,58,77,118,,,,,,,,,,,,,,
170,59,77,154,,,,,,,,,,,,,,
171,60,71,160,,,,,,,,,,,,,,
172,61,75,142,,,,,,,,,,,,,,
173,62,64,101,,,,,,,,,,,,,,
174,63,35,86,,,,,,,,,,,,,,
175,64,40,92,,,,,,,,,,,,,,
176,65,47,106,,,,,,,,,,,,,,
177,66,38,184,,,,,,,,,,,,,,
178,67,55,173,,,,,,,,,,,,,,
179,68,77,97,,,,,,,,,,,,,,
180,69,71,159,,,,,,,,,,,,,,
181,70,74,89,,,,,,,,,,,,,,
182,71,48,106,,,,,,,,,,,,,,
183,72,67,103,,,,,,,,,,,,,,
184,73,38,158,,,,,,,,,,,,,,
185,74,62,109,,,,,,,,,,,,,,
186,75,36,145,,,,,,,,,,,,,,
187,76,45,108,,,,,,,,,,,,,,
188,77,61,149,,,,,,,,,,,,,,
189,78,42,147,,,,,,,,,,,,,,
190,79,64,118,,,,,,,,,,,,,,
191,80,50,142,,,,,,,,,,,,,,
192,81,42,192,,,,,,,,,,,,,,
193,82,72,90,,,,,,,,,,,,,,
194,83,50,174,,,,,,,,,,,,,,
195,84,65,118,,,,,,,,,,,,,,
196,85,71,179,,,,,,,,,,,,,,
197,86,55,115,,,,,,,,,,,,,,
198,87,66,171,,,,,,,,,,,,,,
199,88,51,164,,,,,,,,,,,,,,
200,89,69,139,,,,,,,,,,,,,,
201,90,38,120,,,,,,,,,,,,,,
202,91,51,181,,,,,,,,,,,,,,
203,92,36,162,,,,,,,,,,,,,,
204,93,76,177,,,,,,,,,,,,,,
205,94,48,179,,,,,,,,,,,,,,
206,95,62,128,,,,,,,,,,,,,,
207,96,53,142,,,,,,,,,,,,,,
208,97,49,125,,,,,,,,,,,,,,
209,98,72,119,,,,,,,,,,,,,,
210,99,49,158,,,,,,,,,,,,,,
211,100,70,111,,,,,,,,,,,,,,
212,101,77,119,,,,,,,,,,,,,,
213,102,51,100,,,,,,,,,,,,,,
214,103,39,187,,,,,,,,,,,,,,
215,104,55,173,,,,,,,,,,,,,,
216,105,44,132,,,,,,,,,,,,,,
217,106,68,102,,,,,,,,,,,,,,
218,107,45,85,,,,,,,,,,,,,,
219,108,41,114,,,,,,,,,,,,,,
220,109,75,100,,,,,,,,,,,,,,
221,110,39,137,,,,,,,,,,,,,,
222,111,57,174,,,,,,,,,,,,,,
223,112,63,132,,,,,,,,,,,,,,
224,113,53,186,,,,,,,,,,,,,,
225,114,75,123,,,,,,,,,,,,,,
226,115,74,90,,,,,,,,,,,,,,
227,116,52,96,,,,,,,,,,,,,,
228,117,64,173,,,,,,,,,,,,,,
229,118,50,90,,,,,,,,,,,,,,
230,119,56,180,,,,,,,,,,,,,,
231,120,62,85,,,,,,,,,,,,,,
232,121,51,136,,,,,,,,,,,,,,
233,122,63,106,,,,,,,,,,,,,,
234,123,61,112,,,,,,,,,,,,,,
235,124,47,120,,,,,,,,,,,,,,
236,125,44,149,,,,,,,,,,,,,,
237,126,51,103,,,,,,,,,,,,,,
238,127,60,119,,,,,,,,,,,,,,
239,128,66,100,,,,,,,,,,,,,,
240,129,63,186,,,,,,,,,,,,,,
241,130,65,101,,,,,,,,,,,,,,
242,131,35,97,,,,,,,,,,,,,,
243,132,73,101,,,,,,,,,,,,,,
244,133,36,157,,,,,,,,,,,,,,
245,134,56,129,,,,,,,,,,,,,,
246,135,63,93,,,,,,,,,,,,,,
247,136,68,90,,,,,,,,,,,,,,
248,137,57,93,,,,,,,,,,,,,,
249,138,39,88,,,,,,,,,,,,,,
250,139,42,134,,,,,,,,,,,,,,
251,140,70,102,,,,,,,,,,,,,,
252,141,62,150,,,,,,,,,,,,,,
253,142,40,119,,,,,,,,,,,,,,
254,143,64,109,,,,,,,,,,,,,,
255,144,57,122,,,,,,,,,,,,,,
256,145,38,106,,,,,,,,,,,,,,
257,146,52,146,,,,,,,,,,,,,,
258,147,42,135,,,,,,,,,,,,,,
259,148,35,112,,,,,,,,,,,,,,
260,149,60,137,,,,,,,,,,,,,,
261,150,42,186,,,,,,,,,,,,,,
262,151,68,180,,,,,,,,,,,,,,
263,152,64,99,,,,,,,,,,,,,,
264,153,70,118,,,,,,,,,,,,,,
265,154,63,138,,,,,,,,,,,,,,
266,155,44,159,,,,,,,,,,,,,,
267,156,76,104,,,,,,,,,,,,,,
268,157,39,143,,,,,,,,,,,,,,
269,158,57,127,,,,,,,,,,,,,,
270,159,77,147,,,,,,,,,,,,,,
271,160,55,170,,,,,,,,,,,,,,
272,161,41,98,,,,,,,,,,,,,,
273,162,49,132,,,,,,,,,,,,,,
274,163,64,105,,,,,,,,,,,,,,
275,164,73,89,,,,,,,,,,,,,,
276,165,38,177,,,,,,,,,,,,,,
277,166,54,159,,,,,,,,,,,,,,
278,167,47,180,,,,,,,,,,,,,,
279,168,52,167,,,,,,,,,,,,,,
280,169,74,192,,,,,,,,,,,,,,
281,170,56,124,,,,,,,,,,,,,,
282,171,59,86,,,,,,,,,,,,,,
283,172,41,126,,,,,,,,,,,,,,
284,173,45,107,,,,,,,,,,,,,,
285,174,54,151,,,,,,,,,,,,,,
286,175,76,150,,,,,,,,,,,,,,
287,176,46,84,,,,,,,,,,,,,,
288,177,35,125,,,,,,,,,,,,,,
289,178,68,154,,,,,,,,,,,,,,
290,179,58,110,,,,,,,,,,,,,,
291,180,54,152,,,,,,,,,,,,,,
292,181,53,150,,,,,,,,,,,,,,
293,182,52,122,,,,,,,,,,,,,,
294,183,45,115,,,,,,,,,,,,,,
295,184,73,109,,,,,,,,,,,,,,
296,185,41,165,,,,,,,,,,,,,,
297,186,54,192,,,,,,,,,,,,,,
298,187,38,96,,,,,,,,,,,,,,
299,188,44,97,,,,,,,,,,,,,,
300,189,77,185,,,,,,,,,,,,,,
301,190,43,134,,,,,,,,,,,,,,
302,191,66,113,,,,,,,,,,,,,,
303,192,38,136,,,,,,,,,,,,,,
304,193,60,133,,,,,,,,,,,,,,
305,194,64,183,,,,,,,,,,,,,,
306,195,38,166,,,,,,,,,,,,,,
307,196,43,159,,,,,,,,,,,,,,
308,197,57,177,,,,,,,,,,,,,,
309,198,75,189,,,,,,,,,,,,,,
310,199,61,170,,,,,,,,,,,,,,
311,200,41,187,,,,,,,,,,,,,,
312,201,48,108,,,,,,,,,,,,,,
313,202,55,106,,,,,,,,,,,,,,
314,203,41,113,,,,,,,,,,,,,,
315,204,74,181,,,,,,,,,,,,,,
316,205,41,156,,,,,,,,,,,,,,
317,206,63,151,,,,,,,,,,,,,,
318,207,36,192,,,,,,,,,,,,,,
319,208,73,100,,,,,,,,,,,,,,
320,209,57,185,,,,,,,,,,,,,,
321,210,67,169,,,,,,,,,,,,,,
322,211,60,191,,,,,,,,,,,,,,
323,212,41,127,,,,,,,,,,,,,,
324,213,58,168,,,,,,,,,,,,,,
325,214,55,108,,,,,,,,,,,,,,
326,215,42,110,,,,,,,,,,,,,,
327,216,56,105,,,,,,,,,,,,,,
328,217,68,111,,,,,,,,,,,,,,
329,218,41,139,,,,,,,,,,,,,,
330,219,69,179,,,,,,,,,,,,,,
331,220,49,118,,,,,,,,,,,,,,
332,221,57,170,,,,,,,,,,,,,,
333,222,67,130,,,,,,,,,,,,,,
334,223,39,148,,,,,,,,,,,,,,
335,224,63,142,,,,,,,,,,,,,,
336,225,76,170,,,,,,,,,,,,,,
337,226,54,158,,,,,,,,,,,,,,
338,227,36,124,,,,,,,,,,,,,,
339,228,49,119,,,,,,,,,,,,,,
340,229,38,92,,,,,,,,,,,,,,
341,230,63,124,,,,,,,,,,,,,,
342,231,69,159,,,,,,,,,,,,,,
343,232,66,183,,,,,,,,,,,,,,
344,233,41,134,,,,,,,,,,,,,,
345,234,71,168,,,,,,,,,,,,,,
346,235,71,126,,,,,,,,,,,,,,
347,236,50,153,,,,,,,,,,,,,,
348,237,60,133,,,,,,,,,,,,,,
349,238,45,172,,,,,,,,,,,,,,
350,239,44,161,,,,,,,,,,,,,,
351,240,48,187,,,,,,,,,,,,,,
352,241,40,185,,,,,,,,,,,,,,
353,242,46,125,,,,,,,,,,,,,,
354,243,68,174,,,,,,,,,,,,,,
355,244,42,128,,,,,,,,,,,,,,
356,245,74,174,,,,,,,,,,,,,,
357,246,53,162,,,,,,,,,,,,,,
358,247,44,189,,,,,,,,,,,,,,
359,248,56,175,,,,,,,,,,,,,,
360,249,38,175,,,,,,,,,,,,,,
361,250,46,153,,,,,,,,,,,,,,
362,251,67,180,,,,,,,,,,,,,,
363,252,65,147,,,,,,,,,,,,,,
364,253,53,173,,,,,,,,,,,,,,
365,254,38,146,,,,,,,,,,,,,,
366,255,40,142,,,,,,,,,,,,,,
367,256,39,124,,,,,,,,,,,,,,
368,257,68,162,,,,,,,,,,,,,,
369,258,45,180,,,,,,,,,,,,,,
370,259,53,121,,,,,,,,,,,,,,
371,260,40,118,,,,,,,,,,,,,,
372,261,47,131,,,,,,,,,,,,,,
373,262,72,85,,,,,,,,,,,,,,
374,263,76,153,,,,,,,,,,,,,,
375,264,53,153,,,,,,,,,,,,,,
376,265,75,128,,,,,,,,,,,,,,
377,266,66,126,,,,,,,,,,,,,,
378,267,53,156,,,,,,,,,,,,,,
379,268,43,109,,,,,,,,,,,,,,
380,269,44,158,,,,,,,,,,,,,,
381,270,75,190,,,,,,,,,,,,,,
382,271,67,149,,,,,,,,,,,,,,
383,272,47,124,,,,,,,,,,,,,,
384,273,66,89,,,,,,,,,,,,,,
385,274,75,137,,,,,,,,,,,,,,
386,275,65,151,,,,,,,,,,,,,,
387,276,52,163,,,,,,,,,,,,,,
388,277,65,188,,,,,,,,,,,,,,
389,278,49,117,,,,,,,,,,,,,,
390,279,35,158,,,,,,,,,,,,,,
391,280,61,171,,,,,,,,,,,,,,
392,281,51,132,,,,,,,,,,,,,,
393,282,61,161,,,,,,,,,,,,,,
394,283,69,160,,,,,,,,,,,,,,
395,284,75,95,,,,,,,,,,,,,,
396,285,56,85,,,,,,,,,,,,,,
397,286,62,166,,,,,,,,,,,,,,
398,287,52,100,,,,,,,,,,,,,,
399,288,59,159,,,,,,,,,,,,,,
400,289,41,138,,,,,,,,,,,,,,
401,290,47,183,,,,,,,,,,,,,,
402,291,64,185,,,,,,,,,,,,,,
403,292,74,119,,,,,,,,,,,,,,
404,293,35,85,,,,,,,,,,,,,,
405,294,64,135,,,,,,,,,,,,,,
406,295,49,181,,,,,,,,,,,,,,
407,296,44,143,,,,,,,,,,,,,,
408,297,37,99,,,,,,,,,,,,,,
409,298,60,117,,,,,,,,,,,,,,
410,299,77,146,,,,,,,,,,,,,,
411,300,59,87,,,,,,,,,,,,,,
412,301,39,176,,,,,,,,,,,,,,
413,302,77,160,,,,,,,,,,,,,,
414,303,76,153,,,,,,,,,,,,,,
415,304,49,145,,,,,,,,,,,,,,
416,305,51,155,,,,,,,,,,,,,,
417,306,41,140,,,,,,,,,,,,,,
418,307,52,160,,,,,,,,,,,,,,
419,308,40,133,,,,,,,,,,,,,,
420,309,57,116,,,,,,,,,,,,,,
421,310,65,169,,,,,,,,,,,,,,
422,311,36,135,,,,,,,,,,,,,,
423,312,68,150,,,,,,,,,,,,,,
424,313,69,95,,,,,,,,,,,,,,
425,314,64,112,,,,,,,,,,,,,,
426,315,59,112,,,,,,,,,,,,,,
427,316,65,148,,,,,,,,,,,,,,
428,317,74,111,,,,,,,,,,,,,,
429,318,69,174,,,,,,,,,,,,,,
430,319,75,108,,,,,,,,,,,,,,
431,320,50,124,,,,,,,,,,,,,,
432,321,64,96,,,,,,,,,,,,,,
433,322,38,157,,,,,,,,,,,,,,
434,323,67,161,,,,,,,,,,,,,,
435,324,41,124,,,,,,,,,,,,,,
436,325,35,97,,,,,,,,,,,,,,
437,326,69,158,,,,,,,,,,,,,,
438,327,72,170,,,,,,,,,,,,,,
439,328,35,153,,,,,,,,,,,,,,
440,329,38,124,,,,,,,,,,,,,,
441,330,73,178,,,,,,,,,,,,,,
442,331,75,91,,,,,,,,,,,,,,
443,332,77,98,,,,,,,,,,,,,,
444,333,75,145,,,,,,,,,,,,,,
445,334,60,100,,,,,,,,,,,,,,
446,335,73,114,,,,,,,,,,,,,,
447,336,56,115,,,,,,,,,,,,,,
448,337,75,119,,,,,,,,,,,,,,
449,338,39,183,,,,,,,,,,,,,,
450,339,51,95,,,,,,,,,,,,,,
451,340,72,93,,,,,,,,,,,,,,
452,341,76,119,,,,,,,,,,,,,,
453,342,45,131,,,,,,,,,,,,,,
454,343,55,87,,,,,,,,,,,,,,
455,344,65,98,,,,,,,,,,,,,,
456,345,45,102,,,,,,,,,,,,,,
457,346,67,146,,,,,,,,,,,,,,
458,347,48,136,,,,,,,,,,,,,,
459,348,53,151,,,,,,,,,,,,,,
460,349,39,187,,,,,,,,,,,,,,
461,350,66,104,,,,,,,,,,,,,,
462,351,40,191,,,,,,,,,,,,,,
463,352,55,164,,,,,,,,,,,,,,
464,353,61,138,,,,,,,,,,,,,,
465,354,66,143,,,,,,,,,,,,,,
466,355,64,93,,,,,,,,,,,,,,
467,356,45,189,,,,,,,,,,,,,,
468,357,56,173,,,,,,,,,,,,,,
469,358,73,152,,,,,,,,,,,,,,
470,359,70,145,,,,,,,,,,,,,,
471,360,63,183,,,,,,,,,,,,,,
472,361,71,133,,,,,,,,,,,,,,
473,362,73,161,,,,,,,,,,,,,,
474,363,57,185,,,,,,,,,,,,,,
475,364,76,134,,,,,,,,,,,,,,
476,365,73,136,,,,,,,,,,,,,,
477,366,69,131,,,,,,,,,,,,,,
478,367,51,158,,,,,,,,,,,,,,
479,368,76,190,,,,,,,,,,,,,,
480,369,71,138,,,,,,,,,,,,,,
481,370,70,189,,,,,,,,,,,,,,
482,371,47,102,,,,,,,,,,,,,,
483,372,54,102,,,,,,,,,,,,,,
484,373,74,170,,,,,,,,,,,,,,
485,374,37,138,,,,,,,,,,,,,,
486,375,60,170,,,,,,,,,,,,,,
487,376,68,143,,,,,,,,,,,,,,
488,377,47,172,,,,,,,,,,,,,,
489,378,49,155,,,,,,,,,,,,,,
490,379,39,167,,,,,,,,,,,,,,
491,380,44,158,,,,,,,,,,,,,,
492,381,57,113,,,,,,,,,,,,,,
493,382,62,106,,,,,,,,,,,,,,
494,383,46,172,,,,,,,,,,,,,,
495,384,60,174,,,,,,,,,,,,,,
496,385,71,184,,,,,,,,,,,,,,
497,386,68,120,,,,,,,,,,,,,,
498,387,67,160,,,,,,,,,,,,,,
499,388,61,156,,,,,,,,,,,,,,
500,389,35,163,,,,,,,,,,,,,,
501,390,69,163,,,,,,,,,,,,,,
502,391,72,135,,,,,,,,,,,,,,
503,392,72,95,,,,,,,,,,,,,,
504,393,64,112,,,,,,,,,,,,,,
505,394,41,146,,,,,,,,,,,,,,
506,395,49,117,,,,,,,,,,,,,,
507,396,72,92,,,,,,,,,,,,,,
508,397,47,98,,,,,,,,,,,,,,
509,398,53,86,,,,,,,,,,,,,,
510,399,57,109,,,,,,,,,,,,,,
511,400,73,95,,,,,,,,,,,,,,
512,401,44,110,,,,,,,,,,,,,,
513,402,62,155,,,,,,,,,,,,,,
514,403,35,133,,,,,,,,,,,,,,
515,404,69,146,,,,,,,,,,,,,,
516,405,43,157,,,,,,,,,,,,,,
517,406,62,124,,,,,,,,,,,,,,
518,407,76,137,,,,,,,,,,,,,,
519,408,70,89,,,,,,,,,,,,,,
520,409,52,142,,,,,,,,,,,,,,
521,410,57,86,,,,,,,,,,,,,,
522,411,63,85,,,,,,,,,,,,,,
523,412,56,144,,,,,,,,,,,,,,
524,413,36,160,,,,,,,,,,,,,,
525,414,37,150,,,,,,,,,,,,,,
526,415,46,149,,,,,,,,,,,,,,
527,416,40,169,,,,,,,,,,,,,,
528,417,70,158,,,,,,,,,,,,,,
529,418,57,151,,,,,,,,,,,,,,
530,419,71,107,,,,,,,,,,,,,,
531,420,38,109,,,,,,,,,,,,,,
532,421,54,147,,,,,,,,,,,,,,
533,422,51,155,,,,,,,,,,,,,,
534,423,63,139,,,,,,,,,,,,,,
535,424,39,170,,,,,,,,,,,,,,
536,425,48,125,,,,,,,,,,,,,,
537,426,61,192,,,,,,,,,,,,,,
538,427,65,179,,,,,,,,,,,,,,
539,428,54,105,,,,,,,,,,,,,,
540,429,67,93,,,,,,,,,,,,,,
541,430,61,118,,,,,,,,,,,,,,
542,431,52,104,,,,,,,,,,,,,,
543,432,48,148,,,,,,,,,,,,,,
544,433,58,178,,,,,,,,,,,,,,
545,434,57,115,,,,,,,,,,,,,,
546,435,76,106,,,,,,,,,,,,,,
547,436,44,103,,,,,,,,,,,,,,
548,437,54,114,,,,,,,,,,,,,,
549,438,59,91,,,,,,,,,,,,,,
550,439,62,174,,,,,,,,,,,,,,
551,440,73,142,,,,,,,,,,,,,,
552,441,60,112,,,,,,,,,,,,,,
553,442,48,180,,,,,,,,,,,,,,
554,443,76,98,,,,,,,,,,,,,,
555,444,37,188,,,,,,,,,,,,,,
556,445,44,118,,,,,,,,,,,,,,
557,446,72,166,,,,,,,,,,,,,,
558,447,61,167,,,,,,,,,,,,,,
559,448,70,112,,,,,,,,,,,,,,
560,449,46,169,,,,,,,,,,,,,,
561,450,40,170,,,,,,,,,,,,,,
562,451,77,173,,,,,,,,,,,,,,
563,452,70,95,,,,,,,,,,,,,,
564,453,42,133,,,,,,,,,,,,,,
565,454,58,131,,,,,,,,,,,,,,
566,455,48,125,,,,,,,,,,,,,,
567,456,59,183,,,,,,,,,,,,,,
568,457,43,92,,,,,,,,,,,,,,
569,458,66,99,,,,,,,,,,,,,,
570,459,73,129,,,,,,,,,,,,,,
571,460,61,128,,,,,,,,,,,,,,
572,461,69,146,,,,,,,,,,,,,,
573,462,37,155,,,,,,,,,,,,,,
574,463,49,134,,,,,,,,,,,,,,
575,464,59,157,,,,,,,,,,,,,,
576,465,54,117,,,,,,,,,,,,,,
577,466,69,176,,,,,,,,,,,,,,
578,467,65,94,,,,,,,,,,,,,,
579,468,58,168,,,,,,,,,,,,,,
580,469,53,106,,,,,,,,,,,,,,
581,470,65,140,,,,,,,,,,,,,,
582,471,60,153,,,,,,,,,,,,,,
583,472,63,176,,,,,,,,,,,,,,
584,473,67,188,,,,,,,,,,,,,,
585,474,59,141,,,,,,,,,,,,,,
586,475,36,158,,,,,,,,,,,,,,
587,476,51,177,,,,,,,,,,,,,,
588,477,42,161,,,,,,,,,,,,,,
589,478,77,128,,,,,,,,,,,,,,
590,479,67,102,,,,,,,,,,,,,,
591,480,68,160,,,,,,,,,,,,,,
592,481,72,178,,,,,,,,,,,,,,
593,482,77,84,,,,,,,,,,,,,,
594,483,60,162,,,,,,,,,,,,,,
595,484,43,94,,,,,,,,,,,,,,
596,485,57,187,,,,,,,,,,,,,,
597,486,65,158,,,,,,,,,,,,,,
598,487,65,95,,,,,,,,,,,,,,
599,488,70,101,,,,,,,,,,,,,,
600,489,74,107,,,,,,,,,,,,,,
601,490,73,125,,,,,,,,,,,,,,
602,491,73,89,,,,,,,,,,,,,,
603,492,62,166,,,,,,,,,,,,,,
604,493,74,185,,,,,,,,,,,,,,
605,494,64,84,,,,,,,,,,,,,,
606,495,39,100,,,,,,,,,,,,,,
