,n,24,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
36,2,10,1,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,
37,2,10,2,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
38,2,10,3,,,,,,,,,,3.0,,,,,,,,,,,,,
39,2,11,1,,,,,,,,,,,3.0,,,,,,,,,,,,
40,2,11,2,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,
41,2,11,3,,,,,,,,,,,3.0,,,,,,,,,,,,
42,2,11,4,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,
43,2,22,1,,,,,,,,,,3.0,,,,,,,,,,,,,
44,2,22,2,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,
45,2,22,3,,,,,,,,,,3.0,,,,,,,,,,,,,
46,2,22,4,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,
47,2,31,1,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,
48,2,31,2,,,,,,,,,,9.0,,,,,,,,,,,,,
49,2,31,3,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,
50,2,31,4,,,,,,,,,,,6.0,,,,,,,,,,,,
51,2,41,1,,,,,,,,,,,8.0,,,,,,,,,,,,
52,2,41,2,,,,,,,,,,1.0,,,,,,,,,,,,,
53,2,41,3,,,,,,,,,,,8.0,,,,,,,,,,,,
54,2,41,4,,,,,,,,,,,,7.0,,,,,,,,,,,
55,2,42,1,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,
56,2,42,2,,,,,,,,,,,,7.0,,,,,,,,,,,
57,2,42,3,,,,,,,,,,8.0,,,,,,,,,,,,,
58,2,42,4,,,,,,,,,,,3.0,,,,,,,,,,,,
59,2,43,1,,,,,,,,,,,,2.0,,,,,,,,,,,
60,2,43,2,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,
61,2,43,3,,,,,,,,,,,4.0,,,,,,,,,,,,
62,2,43,4,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,
63,3,25,1,,,,,,,,,,,,,,,,,6.0,,,,,,
64,3,25,2,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,
65,3,25,3,,,,,,,,,,,,,,,,,,9.0,,,,,
66,3,25,4,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,
67,3,26,1,,,,,,,,,,,,,,,,,,4.0,,,,,
68,3,26,2,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,
69,3,26,3,,,,,,,,,,,,,,,,,7.0,,,,,,
70,3,26,4,,,,,,,,,,,,,2.0,,,,,,,,,,
71,3,27,1,,,,,,,,,,,,,8.0,,,,,,,,,,
72,3,27,2,,,,,,,,,,,,,,,,,,3.0,,,,,
73,3,27,3,,,,,,,,,,,,,,,,,5.0,,,,,,
74,3,28,1,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,
75,3,28,2,,,,,,,,,,,,,,,,,,3.0,,,,,
76,3,28,3,,,,,,,,,,,,,,,,,9.0,,,,,,
77,3,28,4,,,,,,,,,,,,,,,,,,3.0,,,,,
78,3,29,1,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,
79,3,29,2,,,,,,,,,,,,,,,,,7.0,,,,,,
80,3,29,3,,,,,,,,,,,,,,,,,,4.0,,,,,
81,3,29,4,,,,,,,,,,,,,5.0,,,,,,,,,,
82,3,30,1,,,,,,,,,,,,,,,,,,6.0,,,,,
83,3,30,2,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,
84,3,30,3,,,,,,,,,,,,,5.0,,,,,,,,,,
85,3,30,4,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,
86,4,32,1,,,,,,,,,,,,,,,,,,,,7.0,,,
87,4,32,2,,,,,,,,,,,,,,,,,,,,,,6.0,
88,4,32,3,,,,,,,,,,,,,,,,,,,5.0,,,,
89,4,32,4,,,,,,,,,,,,,,,,,,,,,2.0,,
90,4,33,1,,,,,,,,,,,,,,,,,,,,,3.0,,
91,4,33,2,,,,,,,,,,,,,,,,,,,6.0,,,,
92,4,33,3,,,,,,,,,,,,,,,,,,,,5.0,,,
93,4,33,4,,,,,,,,,,,,,,,,,,,,,3.0,,
94,4,19,1,,,,,,,,,,,,,,,,,,,3.0,,,,
95,4,19,2,,,,,,,,,,,,,6.0,,,,,,,,,,
96,4,19,3,,,,,,,,,,,,,,,,,,,,2.0,,,
97,4,19,4,,,,,,,,,,,,,6.0,,,,,,,,,,
98,4,19,5,,,,,,,,,,,,,,,,,,,,2.0,,,
99,4,20,1,,,,,,,,,,,,,,,,,,,,,7.0,,
100,4,20,2,,,,,,,,,,,,,,,,,,,,8.0,,,
101,4,20,3,,,,,,,,,,,,,,,,,,,,,,5.0,
102,4,20,4,,,,,,,,,,,,,,,,,,,,8.0,,,
103,4,20,5,,,,,,,,,,,,,,,,,,,,,7.0,,
104,4,21,1,,,,,,,,,,,,,,,,,,,,,,3.0,
105,4,21,2,,,,,,,,,,,,,,,,,,,4.0,,,,
106,4,21,3,,,,,,,,,,,,,,,,,,,,,5.0,,
107,4,21,4,,,,,,,,,,,,,,,,,,,,,,3.0,
108,4,21,5,,,,,,,,,,,,,,,,,,,,,5.0,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,
111,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
112,1,2,3,,,,,,,,,,,,,,,,,,,,,,,
113,1,3,7,,,,,,,,,,,,,,,,,,,,,,,
114,1,4,4,,,,,,,,,,,,,,,,,,,,,,,
115,2,1,4,,,,,,,,,,,,,,,,,,,,,,,
116,2,2,0,,,,,,,,,,,,,,,,,,,,,,,
117,2,3,4,,,,,,,,,,,,,,,,,,,,,,,
118,2,4,2,,,,,,,,,,,,,,,,,,,,,,,
119,3,1,6,,,,,,,,,,,,,,,,,,,,,,,
120,3,2,5,,,,,,,,,,,,,,,,,,,,,,,
121,3,3,0,,,,,,,,,,,,,,,,,,,,,,,
122,3,4,5,,,,,,,,,,,,,,,,,,,,,,,
123,4,1,7,,,,,,,,,,,,,,,,,,,,,,,
124,4,2,5,,,,,,,,,,,,,,,,,,,,,,,
125,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
126,4,4,0,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Cell,Cell,Transportation Time,,,,,,,,,,,,,,,,,,,,,,,
129,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
130,1,2,3,,,,,,,,,,,,,,,,,,,,,,,
131,1,3,5,,,,,,,,,,,,,,,,,,,,,,,
132,1,4,4,,,,,,,,,,,,,,,,,,,,,,,
133,2,1,4,,,,,,,,,,,,,,,,,,,,,,,
134,2,2,0,,,,,,,,,,,,,,,,,,,,,,,
135,2,3,8,,,,,,,,,,,,,,,,,,,,,,,
136,2,4,5,,,,,,,,,,,,,,,,,,,,,,,
137,3,1,6,,,,,,,,,,,,,,,,,,,,,,,
138,3,2,5,,,,,,,,,,,,,,,,,,,,,,,
139,3,3,0,,,,,,,,,,,,,,,,,,,,,,,
140,3,4,3,,,,,,,,,,,,,,,,,,,,,,,
141,4,1,5,,,,,,,,,,,,,,,,,,,,,,,
142,4,2,4,,,,,,,,,,,,,,,,,,,,,,,
143,4,3,3,,,,,,,,,,,,,,,,,,,,,,,
144,4,4,0,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Job,Due Date,,,,,,,,,,,,,,,,,,,,,,,,
147,2,77,,,,,,,,,,,,,,,,,,,,,,,,
148,8,110,,,,,,,,,,,,,,,,,,,,,,,,
149,38,47,,,,,,,,,,,,,,,,,,,,,,,,
150,39,2,,,,,,,,,,,,,,,,,,,,,,,,
151,40,106,,,,,,,,,,,,,,,,,,,,,,,,
152,44,74,,,,,,,,,,,,,,,,,,,,,,,,
153,10,8,,,,,,,,,,,,,,,,,,,,,,,,
154,11,53,,,,,,,,,,,,,,,,,,,,,,,,
155,22,11,,,,,,,,,,,,,,,,,,,,,,,,
156,31,7,,,,,,,,,,,,,,,,,,,,,,,,
157,41,5,,,,,,,,,,,,,,,,,,,,,,,,
158,42,25,,,,,,,,,,,,,,,,,,,,,,,,
159,43,6,,,,,,,,,,,,,,,,,,,,,,,,
160,25,29,,,,,,,,,,,,,,,,,,,,,,,,
161,26,22,,,,,,,,,,,,,,,,,,,,,,,,
162,27,14,,,,,,,,,,,,,,,,,,,,,,,,
163,28,3,,,,,,,,,,,,,,,,,,,,,,,,
164,29,8,,,,,,,,,,,,,,,,,,,,,,,,
165,30,18,,,,,,,,,,,,,,,,,,,,,,,,
166,32,62,,,,,,,,,,,,,,,,,,,,,,,,
167,33,15,,,,,,,,,,,,,,,,,,,,,,,,
168,19,15,,,,,,,,,,,,,,,,,,,,,,,,
169,20,28,,,,,,,,,,,,,,,,,,,,,,,,
170,21,43,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,
172,No,Reference_point1,Reference_point2,,,,,,,,,,,,,,,,,,,,,,,
173,1,56,286,,,,,,,,,,,,,,,,,,,,,,,
174,2,60,441,,,,,,,,,,,,,,,,,,,,,,,
175,3,64,361,,,,,,,,,,,,,,,,,,,,,,,
176,4,58,481,,,,,,,,,,,,,,,,,,,,,,,
177,5,53,410,,,,,,,,,,,,,,,,,,,,,,,
178,6,51,318,,,,,,,,,,,,,,,,,,,,,,,
179,7,57,492,,,,,,,,,,,,,,,,,,,,,,,
180,8,65,413,,,,,,,,,,,,,,,,,,,,,,,
181,9,56,404,,,,,,,,,,,,,,,,,,,,,,,
182,10,65,424,,,,,,,,,,,,,,,,,,,,,,,
183,11,70,281,,,,,,,,,,,,,,,,,,,,,,,
184,12,54,349,,,,,,,,,,,,,,,,,,,,,,,
185,13,67,299,,,,,,,,,,,,,,,,,,,,,,,
186,14,67,332,,,,,,,,,,,,,,,,,,,,,,,
187,15,68,468,,,,,,,,,,,,,,,,,,,,,,,
188,16,62,428,,,,,,,,,,,,,,,,,,,,,,,
189,17,65,263,,,,,,,,,,,,,,,,,,,,,,,
190,18,71,449,,,,,,,,,,,,,,,,,,,,,,,
191,19,69,274,,,,,,,,,,,,,,,,,,,,,,,
192,20,61,383,,,,,,,,,,,,,,,,,,,,,,,
193,21,56,493,,,,,,,,,,,,,,,,,,,,,,,
194,22,65,350,,,,,,,,,,,,,,,,,,,,,,,
195,23,60,418,,,,,,,,,,,,,,,,,,,,,,,
196,24,65,371,,,,,,,,,,,,,,,,,,,,,,,
197,25,56,343,,,,,,,,,,,,,,,,,,,,,,,
198,26,62,299,,,,,,,,,,,,,,,,,,,,,,,
199,27,58,422,,,,,,,,,,,,,,,,,,,,,,,
200,28,59,296,,,,,,,,,,,,,,,,,,,,,,,
201,29,70,279,,,,,,,,,,,,,,,,,,,,,,,
202,30,71,374,,,,,,,,,,,,,,,,,,,,,,,
203,31,64,271,,,,,,,,,,,,,,,,,,,,,,,
204,32,53,310,,,,,,,,,,,,,,,,,,,,,,,
205,33,52,333,,,,,,,,,,,,,,,,,,,,,,,
206,34,62,332,,,,,,,,,,,,,,,,,,,,,,,
207,35,71,465,,,,,,,,,,,,,,,,,,,,,,,
208,36,67,311,,,,,,,,,,,,,,,,,,,,,,,
209,37,53,302,,,,,,,,,,,,,,,,,,,,,,,
210,38,60,484,,,,,,,,,,,,,,,,,,,,,,,
211,39,59,441,,,,,,,,,,,,,,,,,,,,,,,
212,40,70,288,,,,,,,,,,,,,,,,,,,,,,,
213,41,61,335,,,,,,,,,,,,,,,,,,,,,,,
214,42,52,370,,,,,,,,,,,,,,,,,,,,,,,
215,43,58,350,,,,,,,,,,,,,,,,,,,,,,,
216,44,58,261,,,,,,,,,,,,,,,,,,,,,,,
217,45,63,456,,,,,,,,,,,,,,,,,,,,,,,
218,46,68,441,,,,,,,,,,,,,,,,,,,,,,,
219,47,52,266,,,,,,,,,,,,,,,,,,,,,,,
220,48,69,313,,,,,,,,,,,,,,,,,,,,,,,
221,49,69,371,,,,,,,,,,,,,,,,,,,,,,,
222,50,57,288,,,,,,,,,,,,,,,,,,,,,,,
223,51,53,347,,,,,,,,,,,,,,,,,,,,,,,
224,52,60,346,,,,,,,,,,,,,,,,,,,,,,,
225,53,62,331,,,,,,,,,,,,,,,,,,,,,,,
226,54,52,299,,,,,,,,,,,,,,,,,,,,,,,
227,55,56,363,,,,,,,,,,,,,,,,,,,,,,,
228,56,66,301,,,,,,,,,,,,,,,,,,,,,,,
229,57,53,460,,,,,,,,,,,,,,,,,,,,,,,
230,58,71,334,,,,,,,,,,,,,,,,,,,,,,,
231,59,71,413,,,,,,,,,,,,,,,,,,,,,,,
232,60,68,424,,,,,,,,,,,,,,,,,,,,,,,
233,61,70,387,,,,,,,,,,,,,,,,,,,,,,,
234,62,65,297,,,,,,,,,,,,,,,,,,,,,,,
235,63,51,265,,,,,,,,,,,,,,,,,,,,,,,
236,64,53,277,,,,,,,,,,,,,,,,,,,,,,,
237,65,57,307,,,,,,,,,,,,,,,,,,,,,,,
238,66,52,477,,,,,,,,,,,,,,,,,,,,,,,
239,67,60,453,,,,,,,,,,,,,,,,,,,,,,,
240,68,71,288,,,,,,,,,,,,,,,,,,,,,,,
241,69,68,423,,,,,,,,,,,,,,,,,,,,,,,
242,70,70,272,,,,,,,,,,,,,,,,,,,,,,,
243,71,57,307,,,,,,,,,,,,,,,,,,,,,,,
244,72,66,302,,,,,,,,,,,,,,,,,,,,,,,
245,73,52,420,,,,,,,,,,,,,,,,,,,,,,,
246,74,64,315,,,,,,,,,,,,,,,,,,,,,,,
247,75,51,393,,,,,,,,,,,,,,,,,,,,,,,
248,76,56,312,,,,,,,,,,,,,,,,,,,,,,,
249,77,64,401,,,,,,,,,,,,,,,,,,,,,,,
250,78,54,397,,,,,,,,,,,,,,,,,,,,,,,
251,79,65,333,,,,,,,,,,,,,,,,,,,,,,,
252,80,58,385,,,,,,,,,,,,,,,,,,,,,,,
253,81,54,493,,,,,,,,,,,,,,,,,,,,,,,
254,82,69,274,,,,,,,,,,,,,,,,,,,,,,,
255,83,58,454,,,,,,,,,,,,,,,,,,,,,,,
256,84,65,333,,,,,,,,,,,,,,,,,,,,,,,
257,85,68,465,,,,,,,,,,,,,,,,,,,,,,,
258,86,60,328,,,,,,,,,,,,,,,,,,,,,,,
259,87,66,448,,,,,,,,,,,,,,,,,,,,,,,
260,88,58,433,,,,,,,,,,,,,,,,,,,,,,,
261,89,67,379,,,,,,,,,,,,,,,,,,,,,,,
262,90,52,339,,,,,,,,,,,,,,,,,,,,,,,
263,91,59,470,,,,,,,,,,,,,,,,,,,,,,,
264,92,51,430,,,,,,,,,,,,,,,,,,,,,,,
265,93,71,462,,,,,,,,,,,,,,,,,,,,,,,
266,94,57,465,,,,,,,,,,,,,,,,,,,,,,,
267,95,64,356,,,,,,,,,,,,,,,,,,,,,,,
268,96,60,385,,,,,,,,,,,,,,,,,,,,,,,
269,97,58,348,,,,,,,,,,,,,,,,,,,,,,,
270,98,69,336,,,,,,,,,,,,,,,,,,,,,,,
271,99,57,421,,,,,,,,,,,,,,,,,,,,,,,
272,100,68,320,,,,,,,,,,,,,,,,,,,,,,,
273,101,71,336,,,,,,,,,,,,,,,,,,,,,,,
274,102,59,296,,,,,,,,,,,,,,,,,,,,,,,
275,103,53,483,,,,,,,,,,,,,,,,,,,,,,,
276,104,61,453,,,,,,,,,,,,,,,,,,,,,,,
277,105,55,363,,,,,,,,,,,,,,,,,,,,,,,
278,106,67,300,,,,,,,,,,,,,,,,,,,,,,,
279,107,55,262,,,,,,,,,,,,,,,,,,,,,,,
280,108,54,326,,,,,,,,,,,,,,,,,,,,,,,
281,109,70,295,,,,,,,,,,,,,,,,,,,,,,,
282,110,53,376,,,,,,,,,,,,,,,,,,,,,,,
283,111,61,454,,,,,,,,,,,,,,,,,,,,,,,
284,112,65,364,,,,,,,,,,,,,,,,,,,,,,,
285,113,60,480,,,,,,,,,,,,,,,,,,,,,,,
286,114,70,345,,,,,,,,,,,,,,,,,,,,,,,
287,115,70,273,,,,,,,,,,,,,,,,,,,,,,,
288,116,59,286,,,,,,,,,,,,,,,,,,,,,,,
289,117,65,452,,,,,,,,,,,,,,,,,,,,,,,
290,118,58,274,,,,,,,,,,,,,,,,,,,,,,,
291,119,61,468,,,,,,,,,,,,,,,,,,,,,,,
292,120,64,262,,,,,,,,,,,,,,,,,,,,,,,
293,121,58,373,,,,,,,,,,,,,,,,,,,,,,,
294,122,64,307,,,,,,,,,,,,,,,,,,,,,,,
295,123,64,322,,,,,,,,,,,,,,,,,,,,,,,
296,124,57,338,,,,,,,,,,,,,,,,,,,,,,,
297,125,55,400,,,,,,,,,,,,,,,,,,,,,,,
298,126,58,301,,,,,,,,,,,,,,,,,,,,,,,
299,127,63,337,,,,,,,,,,,,,,,,,,,,,,,
300,128,66,295,,,,,,,,,,,,,,,,,,,,,,,
301,129,64,480,,,,,,,,,,,,,,,,,,,,,,,
302,130,66,296,,,,,,,,,,,,,,,,,,,,,,,
303,131,51,288,,,,,,,,,,,,,,,,,,,,,,,
304,132,69,298,,,,,,,,,,,,,,,,,,,,,,,
305,133,51,419,,,,,,,,,,,,,,,,,,,,,,,
306,134,61,357,,,,,,,,,,,,,,,,,,,,,,,
307,135,64,280,,,,,,,,,,,,,,,,,,,,,,,
308,136,67,274,,,,,,,,,,,,,,,,,,,,,,,
309,137,61,280,,,,,,,,,,,,,,,,,,,,,,,
310,138,53,269,,,,,,,,,,,,,,,,,,,,,,,
311,139,54,369,,,,,,,,,,,,,,,,,,,,,,,
312,140,68,300,,,,,,,,,,,,,,,,,,,,,,,
313,141,64,403,,,,,,,,,,,,,,,,,,,,,,,
314,142,53,335,,,,,,,,,,,,,,,,,,,,,,,
315,143,65,315,,,,,,,,,,,,,,,,,,,,,,,
316,144,62,343,,,,,,,,,,,,,,,,,,,,,,,
317,145,52,309,,,,,,,,,,,,,,,,,,,,,,,
318,146,59,394,,,,,,,,,,,,,,,,,,,,,,,
319,147,54,371,,,,,,,,,,,,,,,,,,,,,,,
320,148,51,320,,,,,,,,,,,,,,,,,,,,,,,
321,149,63,374,,,,,,,,,,,,,,,,,,,,,,,
322,150,54,481,,,,,,,,,,,,,,,,,,,,,,,
323,151,67,467,,,,,,,,,,,,,,,,,,,,,,,
324,152,65,293,,,,,,,,,,,,,,,,,,,,,,,
325,153,68,333,,,,,,,,,,,,,,,,,,,,,,,
326,154,64,376,,,,,,,,,,,,,,,,,,,,,,,
327,155,55,423,,,,,,,,,,,,,,,,,,,,,,,
328,156,71,305,,,,,,,,,,,,,,,,,,,,,,,
329,157,53,388,,,,,,,,,,,,,,,,,,,,,,,
330,158,61,352,,,,,,,,,,,,,,,,,,,,,,,
331,159,71,395,,,,,,,,,,,,,,,,,,,,,,,
332,160,61,447,,,,,,,,,,,,,,,,,,,,,,,
333,161,54,290,,,,,,,,,,,,,,,,,,,,,,,
334,162,57,364,,,,,,,,,,,,,,,,,,,,,,,
335,163,65,306,,,,,,,,,,,,,,,,,,,,,,,
336,164,69,271,,,,,,,,,,,,,,,,,,,,,,,
337,165,52,461,,,,,,,,,,,,,,,,,,,,,,,
338,166,60,421,,,,,,,,,,,,,,,,,,,,,,,
339,167,57,467,,,,,,,,,,,,,,,,,,,,,,,
340,168,59,439,,,,,,,,,,,,,,,,,,,,,,,
341,169,70,492,,,,,,,,,,,,,,,,,,,,,,,
342,170,61,346,,,,,,,,,,,,,,,,,,,,,,,
343,171,63,266,,,,,,,,,,,,,,,,,,,,,,,
344,172,54,352,,,,,,,,,,,,,,,,,,,,,,,
345,173,55,310,,,,,,,,,,,,,,,,,,,,,,,
346,174,60,406,,,,,,,,,,,,,,,,,,,,,,,
347,175,71,403,,,,,,,,,,,,,,,,,,,,,,,
348,176,56,260,,,,,,,,,,,,,,,,,,,,,,,
349,177,51,348,,,,,,,,,,,,,,,,,,,,,,,
350,178,67,411,,,,,,,,,,,,,,,,,,,,,,,
351,179,62,316,,,,,,,,,,,,,,,,,,,,,,,
352,180,60,408,,,,,,,,,,,,,,,,,,,,,,,
353,181,59,402,,,,,,,,,,,,,,,,,,,,,,,
354,182,59,343,,,,,,,,,,,,,,,,,,,,,,,
355,183,55,326,,,,,,,,,,,,,,,,,,,,,,,
356,184,69,314,,,,,,,,,,,,,,,,,,,,,,,
357,185,54,436,,,,,,,,,,,,,,,,,,,,,,,
358,186,60,494,,,,,,,,,,,,,,,,,,,,,,,
359,187,52,287,,,,,,,,,,,,,,,,,,,,,,,
360,188,55,289,,,,,,,,,,,,,,,,,,,,,,,
361,189,71,479,,,,,,,,,,,,,,,,,,,,,,,
362,190,55,369,,,,,,,,,,,,,,,,,,,,,,,
363,191,66,323,,,,,,,,,,,,,,,,,,,,,,,
364,192,52,372,,,,,,,,,,,,,,,,,,,,,,,
365,193,63,366,,,,,,,,,,,,,,,,,,,,,,,
366,194,65,474,,,,,,,,,,,,,,,,,,,,,,,
367,195,52,436,,,,,,,,,,,,,,,,,,,,,,,
368,196,55,422,,,,,,,,,,,,,,,,,,,,,,,
369,197,62,462,,,,,,,,,,,,,,,,,,,,,,,
370,198,70,488,,,,,,,,,,,,,,,,,,,,,,,
371,199,63,445,,,,,,,,,,,,,,,,,,,,,,,
372,200,54,483,,,,,,,,,,,,,,,,,,,,,,,
373,201,57,313,,,,,,,,,,,,,,,,,,,,,,,
374,202,60,309,,,,,,,,,,,,,,,,,,,,,,,
375,203,54,324,,,,,,,,,,,,,,,,,,,,,,,
376,204,70,469,,,,,,,,,,,,,,,,,,,,,,,
377,205,54,415,,,,,,,,,,,,,,,,,,,,,,,
378,206,64,405,,,,,,,,,,,,,,,,,,,,,,,
379,207,51,493,,,,,,,,,,,,,,,,,,,,,,,
380,208,69,296,,,,,,,,,,,,,,,,,,,,,,,
381,209,61,479,,,,,,,,,,,,,,,,,,,,,,,
382,210,67,444,,,,,,,,,,,,,,,,,,,,,,,
383,211,63,491,,,,,,,,,,,,,,,,,,,,,,,
384,212,53,353,,,,,,,,,,,,,,,,,,,,,,,
385,213,62,442,,,,,,,,,,,,,,,,,,,,,,,
386,214,60,312,,,,,,,,,,,,,,,,,,,,,,,
387,215,54,317,,,,,,,,,,,,,,,,,,,,,,,
388,216,61,306,,,,,,,,,,,,,,,,,,,,,,,
389,217,67,320,,,,,,,,,,,,,,,,,,,,,,,
390,218,54,379,,,,,,,,,,,,,,,,,,,,,,,
391,219,67,466,,,,,,,,,,,,,,,,,,,,,,,
392,220,57,333,,,,,,,,,,,,,,,,,,,,,,,
393,221,62,446,,,,,,,,,,,,,,,,,,,,,,,
394,222,66,360,,,,,,,,,,,,,,,,,,,,,,,
395,223,52,398,,,,,,,,,,,,,,,,,,,,,,,
396,224,64,386,,,,,,,,,,,,,,,,,,,,,,,
397,225,71,446,,,,,,,,,,,,,,,,,,,,,,,
398,226,60,419,,,,,,,,,,,,,,,,,,,,,,,
399,227,51,347,,,,,,,,,,,,,,,,,,,,,,,
400,228,58,336,,,,,,,,,,,,,,,,,,,,,,,
401,229,52,277,,,,,,,,,,,,,,,,,,,,,,,
402,230,65,346,,,,,,,,,,,,,,,,,,,,,,,
403,231,67,423,,,,,,,,,,,,,,,,,,,,,,,
404,232,66,474,,,,,,,,,,,,,,,,,,,,,,,
405,233,54,368,,,,,,,,,,,,,,,,,,,,,,,
406,234,68,442,,,,,,,,,,,,,,,,,,,,,,,
407,235,68,350,,,,,,,,,,,,,,,,,,,,,,,
408,236,58,409,,,,,,,,,,,,,,,,,,,,,,,
409,237,63,366,,,,,,,,,,,,,,,,,,,,,,,
410,238,56,450,,,,,,,,,,,,,,,,,,,,,,,
411,239,55,427,,,,,,,,,,,,,,,,,,,,,,,
412,240,57,483,,,,,,,,,,,,,,,,,,,,,,,
413,241,53,478,,,,,,,,,,,,,,,,,,,,,,,
414,242,56,348,,,,,,,,,,,,,,,,,,,,,,,
415,243,67,455,,,,,,,,,,,,,,,,,,,,,,,
